"Time","ICMPv4","TCP","UDP"
2023-02-23 01:22:00,0.180,71.2,2.20
2023-02-23 01:24:00,0.180,46.2,0.0800
2023-02-23 01:26:00,0.180,45.8,0.400
2023-02-23 01:28:00,0.180,45.9,0.0400
2023-02-23 01:30:00,0.180,46.9,1.88
2023-02-23 01:32:00,0.180,86.2,1.80
2023-02-23 01:34:00,0.180,46,0.400
2023-02-23 01:36:00,0.180,45.9,0.300
2023-02-23 01:38:00,0.180,46.0,0.440
2023-02-23 01:40:00,0.180,46.8,2.46
2023-02-23 01:42:00,0.180,105,2.20
2023-02-23 01:44:00,0.180,46.5,0.440
2023-02-23 01:46:00,0.180,45.7,0.0800
2023-02-23 01:48:00,0.180,46.0,0.440
2023-02-23 01:50:00,0.180,46.6,1.60
2023-02-23 01:52:00,0.180,120,2.20
2023-02-23 01:54:00,0.180,45.6,0.0800
2023-02-23 01:56:00,0.180,45.5,0.400
2023-02-23 01:58:00,0.180,45.9,0.0400
2023-02-23 02:00:00,0.180,46.5,1.92
2023-02-23 02:02:00,0.180,139,1.80
2023-02-23 02:04:00,0.180,46.0,0.400
2023-02-23 02:06:00,0.180,45.6,0.440
2023-02-23 02:08:00,0.180,44.7,0.440
2023-02-23 02:10:00,0.180,46.2,1.94
2023-02-23 02:12:00,0.180,146,1.84
2023-02-23 02:14:00,0.180,46.2,0.440
2023-02-23 02:16:00,0.180,45.5,0.0800
2023-02-23 02:18:00,0.180,45.7,0.440
2023-02-23 02:20:00,0.180,46.0,1.60
2023-02-23 02:22:00,0.180,146,2.20
2023-02-23 02:24:00,0.180,45.6,0.0800
2023-02-23 02:26:00,0.180,45.2,0.400
2023-02-23 02:28:00,0.180,46.9,0.0400
2023-02-23 02:30:00,0.180,47.9,1.90
2023-02-23 02:32:00,0.180,139,0.920
2023-02-23 02:34:00,0.180,47.5,0.400
2023-02-23 02:36:00,0.180,46.6,0.400
2023-02-23 02:38:00,0.180,46.6,0.440
2023-02-23 02:40:00,0.180,47.5,2.44
2023-02-23 02:42:00,0.180,118,0.200
2023-02-23 02:44:00,0.180,46.4,0.440
2023-02-23 02:46:00,0.180,46.6,0.0800
2023-02-23 02:48:00,0.180,46.2,0.420
2023-02-23 02:50:00,0.180,46.5,1.60
2023-02-23 02:52:00,0.180,100,0.400
2023-02-23 02:54:00,0.180,45.6,0.0800
2023-02-23 02:56:00,0.180,46.4,0.400
2023-02-23 02:58:00,0.180,46.1,0.0400
2023-02-23 03:00:00,0.180,46.5,1.90
2023-02-23 03:02:00,0.180,80.5,0.0400
2023-02-23 03:04:00,0.180,46.5,0.400
2023-02-23 03:06:00,0.180,46.0,0.0400
2023-02-23 03:08:00,0.180,45.8,0.440
