"Time","0(192.168.0.211:10250)","0(192.168.0.211:6443)","200(192.168.0.211:10250)","200(192.168.0.211:6443)","201(192.168.0.211:10250)","201(192.168.0.211:6443)","403(192.168.0.211:10250)","403(192.168.0.211:6443)","404(192.168.0.211:10250)","404(192.168.0.211:6443)","409(192.168.0.211:10250)","409(192.168.0.211:6443)","422(192.168.0.211:10250)","422(192.168.0.211:6443)","500(192.168.0.211:10250)","500(192.168.0.211:6443)","503(192.168.0.211:10250)","503(192.168.0.211:6443)","504(192.168.0.211:10250)","504(192.168.0.211:6443)"
2023-03-23 06:34:00,0,0,23.8,23.9,0.400,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:36:00,0,0,23.1,23.0,0.433,0.456,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:38:00,0,0,22.9,22.9,0.433,0.444,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:40:00,0,0,23.8,23.9,0.356,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:42:00,0,0,23.3,23.2,0.372,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:44:00,0,0,22.6,22.6,0.356,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:46:00,0,0,22.7,22.8,0.356,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:48:00,0,0,23.2,23.1,0.389,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:50:00,0,0,23.1,23.1,0.372,0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:52:00,0,0,23.1,23.2,0.372,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:54:00,0,0,22.8,22.8,0.400,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:56:00,0,0,23.1,23.1,0.389,0.400,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:58:00,0,0,23.2,23.2,0.378,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:00:00,0,0,23.0,22.9,0.389,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:02:00,0,0,23.0,23.0,0.361,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:04:00,0,0,23.5,23.5,0.378,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:06:00,0,0,23.4,23.3,0.361,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:08:00,0,0,23.0,22.9,0.372,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:10:00,0,0,22.9,22.9,0.400,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:12:00,0,0,23.4,23.4,0.383,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:14:00,0,0,23.6,23.6,0.406,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:16:00,0,0,23.1,23.0,0.422,0.411,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:18:00,0,0,23.8,23.9,0.378,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:20:00,0,0,23.0,23.0,0.394,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:22:00,0,0,23.0,22.8,0.389,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:24:00,0,0,22.7,22.8,0.411,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:26:00,0,0,23.2,23.2,0.411,0.411,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:28:00,0,0,22.9,22.8,0.339,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:30:00,0,0,23.1,23.1,0.389,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:32:00,0,0,23.2,23.2,0.367,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:34:00,0,0,22.7,22.7,0.372,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:36:00,0,0,23.0,23.0,0.433,0.411,0,0,0.0222,0.0222,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:38:00,0,0,23.0,23.0,0.394,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:40:00,0,0,23.2,23.1,0.383,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:42:00,0,0,22.9,23.0,0.383,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:44:00,0,0,22.8,22.9,0.389,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:46:00,0,0,23.2,23.1,0.411,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:48:00,0,0,22.9,22.9,0.378,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:50:00,0,0,22.9,23.0,0.400,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:52:00,0,0,24.0,24.0,0.394,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:54:00,0,0,23.0,22.9,0.383,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:56:00,0,0,22.8,22.8,0.383,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 07:58:00,0,0,23.5,23.5,0.361,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 08:00:00,0,0,23.7,23.7,0.394,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 08:02:00,0,0,22.9,22.9,0.383,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 08:04:00,0,0,22.8,22.7,0.367,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 08:06:00,0,0,25.7,25.6,2.88,2.88,0,0,0.0444,0.0444,0,0,0,0,0,0,0,0,0,0
2023-03-23 08:08:00,0,0,25.6,25.6,2.87,2.86,0,0,0.0444,0.0444,0,0,0,0,0,0,0,0,0,0
2023-03-23 08:10:00,0,0,24.0,24.0,0.428,0.422,0,0,0,0,0.0556,0.0556,0,0,0,0,0,0,0,0
2023-03-23 08:12:00,0,0,27.0,27.0,2.92,2.91,0,0,0.0111,0.0111,0.0944,0.0944,0.0889,0.0889,0,0,0,0,0,0
2023-03-23 08:14:00,0,0,24.6,24.6,0.433,0.428,0,0,0,0,0.0389,0.0389,0.0333,0.0333,0,0,0,0,0,0
2023-03-23 08:16:00,0,0,23.0,22.9,0.411,0.406,0,0,0.0111,0.0111,0,0,0.0333,0.0333,0,0,0,0,0,0
2023-03-23 08:18:00,0,0,23.0,23.1,0.367,0.372,0,0,0.0111,0.0111,0,0,0.0333,0.0333,0,0,0,0,0,0
2023-03-23 08:20:00,0,0,22.8,22.9,0.367,0.378,0,0,0,0,0,0,0.0278,0.0278,0,0,0,0,0,0
2023-03-23 08:22:00,0,0,23.0,23.1,0.378,0.394,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:24:00,0,0,22.9,22.9,0.356,0.361,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:26:00,0,0,23.2,23.3,0.406,0.406,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:28:00,0,0,22.8,22.8,0.394,0.389,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:30:00,0,0,22.9,22.9,0.367,0.378,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:32:00,0,0,23.2,23.2,0.406,0.422,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:34:00,0,0,23.0,22.9,0.372,0.383,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-23 08:36:00,0,0,22.9,22.9,0.406,0.411,0,0,0.0111,0.0111,0,0,0.0111,0.0111,0,0,0,0,0,0
