"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-17 07:12:00,0,35407,224857,0,30695,0,0,0,15960
2023-03-17 07:16:00,0,34604,229748,0,28631,0,0,0,16161
2023-03-17 07:20:00,0,32386,5952,0,28664,0,0,0,15732
2023-03-17 07:24:00,0,36775,228652,0,27433,0,0,0,16034
2023-03-17 07:28:00,0,35144,228690,0,30919,0,0,0,15508
2023-03-17 07:32:00,0,34590,223854,0,60458,0,0,0,15325
2023-03-17 07:36:00,0,32864,228479,0,27648,0,0,0,16934
2023-03-17 07:40:00,0,33967,5981,0,28970,0,0,0,15686
2023-03-17 07:44:00,0,34563,229832,0,65937,0,0,0,15594
2023-03-17 07:48:00,0,35191,230313,0,28214,0,0,0,15663
2023-03-17 07:52:00,0,33987,222178,0,29878,0,0,0,16026
2023-03-17 07:56:00,0,34924,225316,0,29402,0,0,0,15809
2023-03-17 08:00:00,0,35600,5826,0,29934,0,0,0,16179
2023-03-17 08:04:00,0,543786,232513,0,264815,0,0,0,15111
2023-03-17 08:08:00,0,31762,228403,0,27169,0,0,0,16302
2023-03-17 08:12:00,0,33795,224448,0,29813,0,0,0,15755
2023-03-17 08:16:00,0,35173,225406,0,60638,0,0,0,16179
2023-03-17 08:20:00,0,35264,5872,0,31448,0,0,0,15765
2023-03-17 08:24:00,0,32891,228069,0,29375,0,0,0,15054
2023-03-17 08:28:00,0,36113,230029,0,28402,0,0,0,16404
2023-03-17 08:32:00,0,34920,234477,0,61919,0,0,0,15890
2023-03-17 08:36:00,0,33631,219688,0,28800,0,0,0,16129
2023-03-17 08:40:00,0,35398,5998,0,26138,0,0,0,16306
2023-03-17 08:44:00,0,33343,228111,0,32010,0,0,0,15642
2023-03-17 08:48:00,0,33797,227485,0,28824,0,0,0,16178
2023-03-17 08:52:00,0,36273,230529,0,29681,0,0,0,15949
2023-03-17 08:56:00,0,31762,224639,0,29994,0,0,0,15315
2023-03-17 09:00:00,0,33887,5893,0,28766,0,0,0,15962
2023-03-17 09:04:00,0,212785,234768,0,94417,0,0,0,15273
2023-03-17 09:08:00,0,33173,226127,0,28442,0,0,0,16054
2023-03-17 09:12:00,0,35708,226613,0,31604,0,0,0,15780
2023-03-17 09:16:00,0,34673,222791,0,25599,0,0,0,15871
