"Time","Total"
2023-03-17 13:28:00,0.0786
2023-03-17 13:30:00,0.0753
2023-03-17 13:32:00,0.0751
2023-03-17 13:34:00,0.0629
2023-03-17 13:36:00,0.0806
2023-03-17 13:38:00,0.0754
2023-03-17 13:40:00,0.0762
2023-03-17 13:42:00,0.0810
2023-03-17 13:44:00,0.0640
2023-03-17 13:46:00,0.0760
2023-03-17 13:48:00,0.0838
2023-03-17 13:50:00,0.0797
2023-03-17 13:52:00,0.0770
2023-03-17 13:54:00,0.0650
2023-03-17 13:56:00,0.0728
2023-03-17 13:58:00,0.0629
2023-03-17 14:00:00,0.0776
2023-03-17 14:02:00,0.0768
2023-03-17 14:04:00,0.0712
2023-03-17 14:06:00,0.0775
2023-03-17 14:08:00,0.0661
2023-03-17 14:10:00,0.0750
2023-03-17 14:12:00,0.0769
2023-03-17 14:14:00,0.0747
2023-03-17 14:16:00,0.0772
2023-03-17 14:18:00,0.0593
2023-03-17 14:20:00,0.0739
2023-03-17 14:22:00,0.0765
2023-03-17 14:24:00,0.0780
2023-03-17 14:26:00,0.0769
2023-03-17 14:28:00,0.0583
2023-03-17 14:30:00,0.0758
2023-03-17 14:32:00,0.0724
2023-03-17 14:34:00,0.0756
2023-03-17 14:36:00,0.0786
2023-03-17 14:38:00,0.0675
2023-03-17 14:40:00,0.0748
2023-03-17 14:42:00,0.0678
2023-03-17 14:44:00,0.0749
2023-03-17 14:46:00,0.0770
2023-03-17 14:48:00,0.0729
2023-03-17 14:50:00,0.0770
2023-03-17 14:52:00,0.0599
2023-03-17 14:54:00,0.0764
2023-03-17 14:56:00,0.0763
2023-03-17 14:58:00,0.0756
2023-03-17 15:00:00,0.0826
2023-03-17 15:02:00,0.0593
2023-03-17 15:04:00,0.0743
2023-03-17 15:06:00,0.0808
2023-03-17 15:08:00,0.0787
2023-03-17 15:10:00,0.0766
2023-03-17 15:12:00,0.0684
2023-03-17 15:14:00,0.0718
2023-03-17 15:16:00,0.0704
2023-03-17 15:18:00,0.0816
2023-03-17 15:20:00,0.0763
2023-03-17 15:22:00,0.0743
2023-03-17 15:24:00,0.0780
2023-03-17 15:26:00,0.0647
2023-03-17 15:28:00,0.0779
2023-03-17 15:30:00,0.0785
2023-03-17 15:32:00,0.0813
2023-03-17 15:34:00,0.0771
2023-03-17 15:36:00,0.0668
2023-03-17 15:38:00,0.0769
2023-03-17 15:40:00,0.0753
2023-03-17 15:42:00,0.0851
2023-03-17 15:44:00,0.0796
2023-03-17 15:46:00,0.0654
2023-03-17 15:48:00,0.0749
2023-03-17 15:50:00,0.0685
2023-03-17 15:52:00,0.0807
2023-03-17 15:54:00,0.0790
2023-03-17 15:56:00,0.0737
2023-03-17 15:58:00,0.0733
2023-03-17 16:00:00,0.0695
2023-03-17 16:02:00,0.0783
2023-03-17 16:04:00,0.0772
2023-03-17 16:06:00,0.0767
2023-03-17 16:08:00,0.0784
2023-03-17 16:10:00,0.0603
2023-03-17 16:12:00,0.0800
2023-03-17 16:14:00,0.0800
2023-03-17 16:16:00,0.0839
2023-03-17 16:18:00,0.0802
2023-03-17 16:20:00,0.0705
2023-03-17 16:22:00,0.0742
2023-03-17 16:24:00,0.0745
2023-03-17 16:26:00,0.0800
2023-03-17 16:28:00,0.0779
2023-03-17 16:30:00,0.0766
2023-03-17 16:32:00,0.0759
2023-03-17 16:34:00,0.0721
2023-03-17 16:36:00,0.0814
2023-03-17 16:38:00,0.0784
2023-03-17 16:40:00,0.0787
2023-03-17 16:42:00,0.0802
2023-03-17 16:44:00,0.0598
2023-03-17 16:46:00,0.0783
2023-03-17 16:48:00,0.0763
2023-03-17 16:50:00,0.0802
2023-03-17 16:52:00,0.0772
2023-03-17 16:54:00,0.0690
2023-03-17 16:56:00,0.0762
2023-03-17 16:58:00,0.0714
2023-03-17 17:00:00,0.0836
2023-03-17 17:02:00,0.0808
2023-03-17 17:04:00,0.0733
2023-03-17 17:06:00,0.0805
2023-03-17 17:08:00,0.0630
2023-03-17 17:10:00,0.0791
2023-03-17 17:12:00,0.0824
2023-03-17 17:14:00,0.0783
2023-03-17 17:16:00,0.0827
2023-03-17 17:18:00,0.0652
2023-03-17 17:20:00,0.0751
2023-03-17 17:22:00,0.0761
2023-03-17 17:24:00,0.0832
2023-03-17 17:26:00,0.0842
2023-03-17 17:28:00,0.0641
2023-03-17 17:30:00,0.0778
2023-03-17 17:32:00,0.0746
2023-03-17 17:34:00,0.0799
2023-03-17 17:36:00,0.0824
2023-03-17 17:38:00,0.0696
2023-03-17 17:40:00,0.0752
2023-03-17 17:42:00,0.0682
2023-03-17 17:44:00,0.0789
2023-03-17 17:46:00,0.0792
2023-03-17 17:48:00,0.0789
2023-03-17 17:50:00,0.0771
2023-03-17 17:52:00,0.0622
2023-03-17 17:54:00,0.0756
2023-03-17 17:56:00,0.0783
2023-03-17 17:58:00,0.0808
2023-03-17 18:00:00,0.0820
2023-03-17 18:02:00,0.0680
2023-03-17 18:04:00,0.0741
2023-03-17 18:06:00,0.0691
2023-03-17 18:08:00,0.0858
2023-03-17 18:10:00,0.0765
2023-03-17 18:12:00,0.0762
2023-03-17 18:14:00,0.0751
2023-03-17 18:16:00,0.0646
2023-03-17 18:18:00,0.0817
2023-03-17 18:20:00,0.0768
2023-03-17 18:22:00,0.0774
2023-03-17 18:24:00,0.0784
2023-03-17 18:26:00,0.0629
2023-03-17 18:28:00,0.0769
2023-03-17 18:30:00,0.0792
2023-03-17 18:32:00,0.0798
2023-03-17 18:34:00,0.0773
2023-03-17 18:36:00,0.0643
2023-03-17 18:38:00,0.0756
2023-03-17 18:40:00,0.0716
2023-03-17 18:42:00,0.0794
2023-03-17 18:44:00,0.0777
2023-03-17 18:46:00,0.0757
2023-03-17 18:48:00,0.0749
2023-03-17 18:50:00,0.0696
2023-03-17 18:52:00,0.0771
2023-03-17 18:54:00,0.0820
2023-03-17 18:56:00,0.0803
2023-03-17 18:58:00,0.0776
2023-03-17 19:00:00,0.0675
2023-03-17 19:02:00,0.0764
2023-03-17 19:04:00,0.0766
2023-03-17 19:06:00,0.0809
2023-03-17 19:08:00,0.0775
2023-03-17 19:10:00,0.0690
2023-03-17 19:12:00,0.0750
2023-03-17 19:14:00,0.0745
2023-03-17 19:16:00,0.0798
2023-03-17 19:18:00,0.0811
2023-03-17 19:20:00,0.0741
2023-03-17 19:22:00,0.0736
2023-03-17 19:24:00,0.0650
2023-03-17 19:26:00,0.0786
2023-03-17 19:28:00,0.0765
2023-03-17 19:30:00,0.0804
2023-03-17 19:32:00,0.0814
2023-03-17 19:34:00,0.0608
2023-03-17 19:36:00,0.0792
2023-03-17 19:38:00,0.0781
2023-03-17 19:40:00,0.0799
2023-03-17 19:42:00,0.0848
2023-03-17 19:44:00,0.0643
2023-03-17 19:46:00,0.0773
2023-03-17 19:48:00,0.0746
