"Time","0(172.16.66.122:10250)","0(172.16.66.122:6443)","200(172.16.66.122:10250)","200(172.16.66.122:6443)","201(172.16.66.122:10250)","201(172.16.66.122:6443)","403(172.16.66.122:10250)","403(172.16.66.122:6443)","404(172.16.66.122:10250)","404(172.16.66.122:6443)","409(172.16.66.122:10250)","409(172.16.66.122:6443)","422(172.16.66.122:10250)","422(172.16.66.122:6443)","500(172.16.66.122:10250)","500(172.16.66.122:6443)","504(172.16.66.122:10250)","504(172.16.66.122:6443)"
2023-03-11 13:30:00,0,0,20.1,19.9,0.367,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:32:00,0,0,19.7,19.5,0.361,0.344,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 13:34:00,0,0,19.8,19.8,0.344,0.367,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:36:00,0,0,19.9,19.9,0.344,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:38:00,0,0,19.8,19.9,0.356,0.350,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 13:40:00,0,0,19.9,19.8,0.378,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:42:00,0,0,19.5,19.4,0.361,0.333,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 13:44:00,0,0,20.0,20.1,0.378,0.372,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:46:00,0,0,19.9,19.7,0.383,0.422,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:48:00,0,0,19.6,19.7,0.467,0.522,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 13:50:00,0,0,20.1,20.1,0.511,0.572,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:52:00,0,0,19.7,19.6,0.556,0.561,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 13:54:00,0,0,19.9,19.8,0.450,0.394,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:56:00,0,0,20.0,19.9,0.400,0.400,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:58:00,0,0,19.6,19.7,0.422,0.406,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 14:00:00,0,0,20.1,19.8,0.406,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:02:00,0,0,19.6,19.4,0.361,0.350,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 14:04:00,0,0,20.0,20.0,0.333,0.372,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:06:00,0,0,20.1,19.8,0.356,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:08:00,0,0,19.5,19.5,0.350,0.344,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 14:10:00,0,0,20.0,20.2,0.350,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 14:12:00,0,0,19.7,19.6,0.367,0.361,0,0,0.0111,0,0,0,0,0,0,0,0,0
