"Time","min","avg","max","deleted","deleted max"
2023-02-23 00:46:00,110,2528,7342,32539,44354
2023-02-23 00:48:00,110,2528,7342,32539,44354
2023-02-23 00:50:00,110,2528,7342,32539,44354
2023-02-23 00:52:00,110,2528,7342,32539,44354
2023-02-23 00:54:00,110,2528,7342,32539,44354
2023-02-23 00:56:00,113,2630,7644,39650,44354
2023-02-23 00:58:00,113,2630,7644,39650,44354
2023-02-23 01:00:00,113,2630,7644,39650,44354
2023-02-23 01:02:00,113,2630,7644,39650,44354
2023-02-23 01:04:00,113,2630,7644,39650,44354
2023-02-23 01:06:00,113,2630,7644,39650,44354
2023-02-23 01:08:00,113,2630,7644,39650,44354
2023-02-23 01:10:00,113,2630,7644,39650,44354
2023-02-23 01:12:00,113,2630,7644,39650,44354
2023-02-23 01:14:00,113,2630,7644,39650,44354
2023-02-23 01:16:00,113,2630,7644,39650,44354
2023-02-23 01:18:00,113,2630,7644,39650,44354
2023-02-23 01:20:00,113,2630,7644,39650,44354
2023-02-23 01:22:00,113,2630,7644,39650,44354
2023-02-23 01:24:00,113,2630,7644,39650,44354
2023-02-23 01:26:00,113,2630,7644,39650,44354
2023-02-23 01:28:00,113,2630,7644,39650,44354
2023-02-23 01:30:00,113,2630,7644,39650,44354
2023-02-23 01:32:00,113,2630,7644,39650,44354
2023-02-23 01:34:00,113,2630,7644,39650,44354
2023-02-23 01:36:00,113,2630,7644,39650,44354
2023-02-23 01:38:00,113,2630,7644,39650,44354
2023-02-23 01:40:00,113,2630,7644,39650,44354
2023-02-23 01:42:00,113,2630,7644,39650,44354
2023-02-23 01:44:00,113,2630,7644,39650,44354
2023-02-23 01:46:00,113,2630,7644,39650,44354
2023-02-23 01:48:00,113,2630,7644,39650,44354
2023-02-23 01:50:00,113,2630,7644,39650,44354
2023-02-23 01:52:00,113,2630,7644,39650,44354
2023-02-23 01:54:00,113,2630,7644,39650,44354
2023-02-23 01:56:00,113,2630,7644,39650,44354
2023-02-23 01:58:00,113,2630,7644,39650,44354
2023-02-23 02:00:00,113,2630,7644,39650,44354
2023-02-23 02:02:00,113,2630,7644,39650,44354
2023-02-23 02:04:00,113,2630,7644,39650,44354
2023-02-23 02:06:00,113,2630,7644,39650,44354
2023-02-23 02:08:00,113,2630,7644,39650,44354
2023-02-23 02:10:00,113,2630,7644,39650,44354
2023-02-23 02:12:00,113,2630,7644,39650,44354
2023-02-23 02:14:00,113,2630,7644,39650,44354
2023-02-23 02:16:00,113,2630,7644,39650,44354
2023-02-23 02:18:00,113,2630,7644,39650,44354
2023-02-23 02:20:00,113,2630,7644,39650,44354
2023-02-23 02:22:00,113,2630,7644,39650,44354
2023-02-23 02:24:00,113,2630,7644,39650,44354
2023-02-23 02:26:00,113,2631,7644,39698,44497
2023-02-23 02:28:00,113,2631,7644,39698,44497
2023-02-23 02:30:00,113,2631,7644,39698,44497
2023-02-23 02:32:00,113,2631,7644,39698,44497
2023-02-23 02:34:00,113,2631,7644,39698,44497
2023-02-23 02:36:00,113,2631,7644,39698,44497
2023-02-23 02:38:00,113,2631,7644,39698,44497
2023-02-23 02:40:00,113,2631,7644,39698,44497
2023-02-23 02:42:00,113,2631,7644,39698,44497
2023-02-23 02:44:00,113,2631,7644,39698,44497
2023-02-23 02:46:00,113,2631,7644,39698,44497
2023-02-23 02:48:00,113,2631,7644,39698,44497
2023-02-23 02:50:00,113,2631,7644,39698,44497
2023-02-23 02:52:00,113,2631,7644,39698,44497
2023-02-23 02:54:00,113,2631,7644,39698,44497
2023-02-23 02:56:00,113,2631,7644,39698,44497
2023-02-23 02:58:00,113,2631,7644,39698,44497
2023-02-23 03:00:00,113,2631,7644,39698,44497
2023-02-23 03:02:00,113,2631,7644,39698,44497
2023-02-23 03:04:00,113,2631,7644,39698,44497
2023-02-23 03:06:00,113,2631,7644,39698,44497
2023-02-23 03:08:00,113,2631,7644,39698,44497
2023-02-23 03:10:00,113,2631,7644,39698,44497
2023-02-23 03:12:00,113,2631,7644,39698,44497
2023-02-23 03:14:00,113,2631,7644,39698,44497
2023-02-23 03:16:00,113,2631,7644,39698,44497
