"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-15 19:22:00,237766,130187,189230,153906,118055,183176
2023-03-15 19:24:00,312483,184997,178811,206916,183918,163059
2023-03-15 19:26:00,336640,160741,205679,211910,163866,190020
2023-03-15 19:28:00,269521,152652,210224,163835,131119,196142
2023-03-15 19:30:00,235610,136277,174735,152174,122398,161526
2023-03-15 19:32:00,237094,128562,185152,152185,117779,178617
2023-03-15 19:34:00,275911,181364,178261,183010,181447,160273
2023-03-15 19:36:00,313724,166131,191529,208226,173315,186467
2023-03-15 19:38:00,246924,154900,187007,161864,132239,169625
2023-03-15 19:40:00,238130,136140,180150,159659,122435,164606
2023-03-15 19:42:00,238514,133853,189654,155415,120271,184697
2023-03-15 19:44:00,240512,169957,182265,159828,155183,167089
2023-03-15 19:46:00,315607,163354,192737,213781,171485,184994
2023-03-15 19:48:00,241562,154864,184673,163412,131998,166158
2023-03-15 19:50:00,237957,136618,178872,158393,122473,163845
2023-03-15 19:52:00,241545,143669,192390,158541,125030,185161
2023-03-15 19:54:00,241136,137808,182870,160231,123659,167589
2023-03-15 19:56:00,339984,161817,216856,216812,171117,208231
2023-03-15 19:58:00,254888,151136,182573,171262,128806,164228
2023-03-15 20:00:00,238445,136657,185189,158588,122541,176195
2023-03-15 20:02:00,239175,149755,178173,156529,128221,160271
2023-03-15 20:04:00,249705,137944,189885,156589,123792,176284
2023-03-15 20:06:00,345668,203305,308706,218165,212485,303229
2023-03-15 20:08:00,473980,219928,374635,247603,202719,352504
2023-03-15 20:10:00,237807,135272,202008,155956,121906,196799
2023-03-15 20:12:00,239446,154080,181074,157307,130234,165214
2023-03-15 20:14:00,241614,137676,182017,161842,123520,166196
2023-03-15 20:16:00,318332,165129,197770,219622,173447,188275
2023-03-15 20:18:00,339291,184760,213117,219079,181044,195229
2023-03-15 20:20:00,261786,133495,212129,159149,120965,206358
2023-03-15 20:22:00,239099,152707,182654,156635,129548,165865
2023-03-15 20:24:00,239056,137732,179984,159910,123556,164008
2023-03-15 20:26:00,269790,176157,192764,180706,178661,184952
2023-03-15 20:28:00,313005,166494,185090,211794,173102,168884
2023-03-15 20:30:00,239408,131619,185996,157425,119905,179371
2023-03-15 20:32:00,241083,150849,178952,156500,128454,162266
2023-03-15 20:34:00,234133,137306,181737,153582,123362,173665
2023-03-15 20:36:00,244953,160330,184206,163927,146613,164221
2023-03-15 20:38:00,317964,166570,190798,214541,173274,174075
2023-03-15 20:40:00,239201,135930,187567,156680,122050,183534
2023-03-15 20:42:00,264382,155704,204062,155880,131242,190944
2023-03-15 20:44:00,235641,133450,187314,157075,120062,181428
2023-03-15 20:46:00,243674,154843,185171,164096,131444,167519
2023-03-15 20:48:00,313653,166680,185949,212800,173258,169383
2023-03-15 20:50:00,276475,134788,200159,179915,122071,193743
2023-03-15 20:52:00,243783,145008,184077,157705,126742,169738
2023-03-15 20:54:00,236773,132373,188776,159712,119658,181484
2023-03-15 20:56:00,245017,153859,187304,168148,131018,167687
2023-03-15 20:58:00,337246,166818,209611,213689,173306,193790
2023-03-15 21:00:00,335693,159471,210964,209142,149147,205574
2023-03-15 21:02:00,243608,136908,185903,162982,122755,169653
2023-03-15 21:04:00,237400,130995,189023,161747,119009,180258
2023-03-15 21:06:00,246485,152295,187729,167416,130163,167606
2023-03-15 21:08:00,317580,166531,195849,213550,173342,185193
2023-03-15 21:10:00,312450,182745,175935,209228,182669,158046
2023-03-15 21:12:00,241592,136716,182186,157647,122556,167651
2023-03-15 21:14:00,236103,133010,188068,158681,119796,181439
2023-03-15 21:16:00,245232,154751,184396,163089,131384,167373
2023-03-15 21:18:00,263009,161390,193210,174084,167645,187493
2023-03-15 21:20:00,332113,187673,202935,211070,184812,186882
2023-03-15 21:22:00,243360,136971,206816,156700,122734,193435
2023-03-15 21:24:00,234687,133093,184985,153876,119973,179883
2023-03-15 21:26:00,244565,156861,184620,161738,132434,169135
2023-03-15 21:28:00,242975,139403,192949,160621,130894,186428
2023-03-15 21:30:00,307756,185480,176623,206969,183018,160552
2023-03-15 21:32:00,243245,136879,184302,160702,122711,168839
2023-03-15 21:34:00,235278,148500,185273,155444,127507,178845
2023-03-15 21:36:00,247349,138091,188186,164384,123758,171899
2023-03-15 21:38:00,248319,131579,197672,163553,120086,189244
2023-03-15 21:40:00,306394,181970,173517,204234,180853,157223
2023-03-15 21:42:00,275992,136322,188254,181596,122409,180042
2023-03-15 21:44:00,260025,149207,200215,160025,127788,181743
2023-03-15 21:46:00,254746,137989,194297,161443,123798,179336
2023-03-15 21:48:00,244571,134204,195598,164135,121519,187939
2023-03-15 21:50:00,309357,185054,179472,210930,182548,162441
2023-03-15 21:52:00,318614,151717,197546,213622,148240,191166
2023-03-15 21:54:00,236581,154855,178773,158279,130552,162623
2023-03-15 21:56:00,246080,138063,186401,165584,123747,169519
2023-03-15 21:58:00,244288,134435,195323,163806,121410,187802
2023-03-15 22:00:00,292910,187043,176681,195351,183120,162022
2023-03-15 22:02:00,338490,164881,216151,209519,173174,210889
2023-03-15 22:04:00,236172,152706,177593,156599,129544,161171
2023-03-15 22:06:00,241045,137887,183659,158204,123724,168284
2023-03-15 22:08:00,248937,144750,199315,165016,126442,190600
2023-03-15 22:10:00,242974,157741,178114,162173,159165,162973
2023-03-15 22:12:00,316525,163587,191277,209150,172635,184866
2023-03-15 22:14:00,238366,151501,176659,157522,128912,159738
2023-03-15 22:16:00,242274,136472,193356,166432,122137,181263
2023-03-15 22:18:00,243985,152595,183916,163155,130318,165283
2023-03-15 22:20:00,234115,137373,175545,153542,124135,161557
2023-03-15 22:22:00,317356,168203,193057,206269,175548,189636
2023-03-15 22:24:00,238439,157052,178681,156611,132620,164305
2023-03-15 22:26:00,263697,133616,215760,160894,120195,209647
2023-03-15 22:28:00,253040,154904,193423,160977,131493,177164
2023-03-15 22:30:00,235347,135545,178195,157199,121131,162982
2023-03-15 22:32:00,316524,166304,192123,209161,174565,186715
2023-03-15 22:34:00,279219,144935,176238,182623,126675,163376
2023-03-15 22:36:00,241217,131924,191317,157741,119465,184704
2023-03-15 22:38:00,248004,153182,188285,163132,130588,170268
2023-03-15 22:40:00,235644,135280,178856,158249,120878,163108
2023-03-15 22:42:00,316919,184299,186359,210956,183327,172935
2023-03-15 22:44:00,310279,157360,178806,207287,156455,164483
2023-03-15 22:46:00,240330,129363,190804,161092,118084,181605
2023-03-15 22:48:00,243352,151020,182342,161991,129503,163323
2023-03-15 22:50:00,237805,134880,187595,158241,120707,182220
2023-03-15 22:52:00,289794,184651,182528,192120,183696,164512
2023-03-15 22:54:00,335572,168179,204277,210569,175016,189838
2023-03-15 22:56:00,240558,134631,217250,161748,120672,210983
2023-03-15 22:58:00,245456,157015,185710,162287,132429,170032
2023-03-15 23:00:00,238201,133419,187567,157745,120053,181864
2023-03-15 23:02:00,239538,175928,180814,157435,167087,164574
2023-03-15 23:04:00,310866,168089,179258,208095,174997,164645
2023-03-15 23:06:00,243074,132754,196126,164404,119701,187453
2023-03-15 23:08:00,251343,137045,193266,167295,122623,176145
2023-03-15 23:10:00,236887,132587,184624,154880,120387,178977
2023-03-15 23:12:00,238180,151821,177642,154048,129110,161504
2023-03-15 23:14:00,310140,167793,178741,206962,174367,164386
2023-03-15 23:16:00,240685,149870,186005,161938,128151,170421
2023-03-15 23:18:00,245200,137799,185550,161865,123577,169937
2023-03-15 23:20:00,261473,131751,209909,158647,119977,203281
2023-03-15 23:22:00,240924,151554,180850,156345,128918,164083
2023-03-15 23:24:00,320667,166754,197339,206153,174016,193647
2023-03-15 23:26:00,292010,158850,190932,194372,135943,175904
2023-03-15 23:28:00,245426,137924,185893,162140,123731,170226
2023-03-15 23:30:00,236895,133988,185293,154857,121195,180237
2023-03-15 23:32:00,240139,155882,183434,159488,131054,167663
2023-03-15 23:34:00,310422,165064,187156,207049,173262,181688
2023-03-15 23:36:00,314934,177788,185271,212697,171070,167277
2023-03-15 23:38:00,248778,137851,191328,166152,123705,173819
2023-03-15 23:40:00,237458,145047,185761,156378,126499,179606
2023-03-15 23:42:00,240157,135543,183474,159613,121116,167655
2023-03-15 23:44:00,303709,163113,211621,187759,172173,205063
2023-03-15 23:46:00,315103,182491,182651,212233,185703,164396
2023-03-15 23:48:00,241333,137883,191001,162031,128453,180449
2023-03-15 23:50:00,237618,152235,175897,157098,130001,158954
2023-03-15 23:52:00,240835,135599,183103,156446,121136,168352
2023-03-15 23:54:00,250876,151072,199843,159416,148468,195000
2023-03-15 23:56:00,325640,187041,194329,212051,183354,178987
2023-03-15 23:58:00,241358,134649,194007,161915,121288,186738
2023-03-16 00:00:00,238290,154891,178012,158004,131521,162031
2023-03-16 00:02:00,240103,136011,183005,158962,121446,167444
2023-03-16 00:04:00,240883,135502,188870,159021,122381,183039
2023-03-16 00:06:00,318417,176001,189470,216211,178693,172343
2023-03-16 00:08:00,261162,132547,201311,176861,119725,192198
2023-03-16 00:10:00,238234,153726,177569,158123,130920,160941
2023-03-16 00:12:00,264180,135553,207736,161242,121049,192141
2023-03-16 00:14:00,240110,154052,187135,157354,131516,180947
2023-03-16 00:16:00,316243,167921,186319,214259,174870,169764
2023-03-16 00:18:00,306892,138178,194341,208970,130492,184964
2023-03-16 00:20:00,238022,151714,176136,157883,129825,158485
2023-03-16 00:22:00,241207,135045,192556,156699,120770,187032
