"Time","192.168.0.211:6443"
2023-03-23 23:56:00,14565
2023-03-24 00:00:00,14556
2023-03-24 00:04:00,14558
2023-03-24 00:08:00,14554
2023-03-24 00:12:00,14553
2023-03-24 00:16:00,14564
2023-03-24 00:20:00,14556
2023-03-24 00:24:00,14558
2023-03-24 00:28:00,14561
2023-03-24 00:32:00,14560
2023-03-24 00:36:00,14572
2023-03-24 00:40:00,14561
2023-03-24 00:44:00,14564
2023-03-24 00:48:00,14569
2023-03-24 00:52:00,14574
2023-03-24 00:56:00,14579
2023-03-24 01:00:00,14571
2023-03-24 01:04:00,14576
2023-03-24 01:08:00,14579
2023-03-24 01:12:00,14585
2023-03-24 01:16:00,14593
2023-03-24 01:20:00,14596
2023-03-24 01:24:00,14604
2023-03-24 01:28:00,14602
2023-03-24 01:32:00,14611
2023-03-24 01:36:00,14614
2023-03-24 01:40:00,14607
2023-03-24 01:44:00,14621
2023-03-24 01:48:00,14626
2023-03-24 01:52:00,14626
2023-03-24 01:56:00,14638
2023-03-24 02:00:00,14641
2023-03-24 02:04:00,14632
2023-03-24 02:08:00,14631
2023-03-24 02:12:00,14629
2023-03-24 02:16:00,14628
2023-03-24 02:20:00,14616
2023-03-24 02:24:00,14613
2023-03-24 02:28:00,14619
2023-03-24 02:32:00,14606
2023-03-24 02:36:00,14610
2023-03-24 02:40:00,14599
2023-03-24 02:44:00,14593
2023-03-24 02:48:00,14586
2023-03-24 02:52:00,14585
2023-03-24 02:56:00,14583
2023-03-24 03:00:00,14571
2023-03-24 03:04:00,14568
2023-03-24 03:08:00,14567
2023-03-24 03:12:00,14572
2023-03-24 03:16:00,14577
2023-03-24 03:20:00,14566
2023-03-24 03:24:00,14569
2023-03-24 03:28:00,14576
2023-03-24 03:32:00,14572
2023-03-24 03:36:00,14580
2023-03-24 03:40:00,14578
2023-03-24 03:44:00,14586
2023-03-24 03:48:00,14575
2023-03-24 03:52:00,14582
2023-03-24 03:56:00,14590
2023-03-24 04:00:00,14582
2023-03-24 04:04:00,14585
2023-03-24 04:08:00,14589
2023-03-24 04:12:00,14598
2023-03-24 04:16:00,14598
2023-03-24 04:20:00,14594
2023-03-24 04:24:00,14599
2023-03-24 04:28:00,14596
2023-03-24 04:32:00,14602
2023-03-24 04:36:00,14605
2023-03-24 04:40:00,14602
2023-03-24 04:44:00,14604
2023-03-24 04:48:00,14599
2023-03-24 04:52:00,14602
2023-03-24 04:56:00,14609
2023-03-24 05:00:00,14603
2023-03-24 05:04:00,14598
2023-03-24 05:08:00,14600
2023-03-24 05:12:00,14595
2023-03-24 05:16:00,14596
2023-03-24 05:20:00,14584
2023-03-24 05:24:00,14581
2023-03-24 05:28:00,14580
2023-03-24 05:32:00,14588
2023-03-24 05:36:00,14588
2023-03-24 05:40:00,14574
2023-03-24 05:44:00,14572
2023-03-24 05:48:00,14572
2023-03-24 05:52:00,14573
2023-03-24 05:56:00,14577
2023-03-24 06:00:00,14573
2023-03-24 06:04:00,14568
2023-03-24 06:08:00,14571
2023-03-24 06:12:00,14569
2023-03-24 06:16:00,14575
2023-03-24 06:20:00,14567
2023-03-24 06:24:00,14571
2023-03-24 06:28:00,14561
2023-03-24 06:32:00,14561
2023-03-24 06:36:00,14567
2023-03-24 06:40:00,14563
2023-03-24 06:44:00,14559
2023-03-24 06:48:00,14560
2023-03-24 06:52:00,14558
2023-03-24 06:56:00,14567
2023-03-24 07:00:00,14561
2023-03-24 07:04:00,14562
2023-03-24 07:08:00,14560
2023-03-24 07:12:00,14565
2023-03-24 07:16:00,14574
2023-03-24 07:20:00,14567
2023-03-24 07:24:00,14564
2023-03-24 07:28:00,14570
2023-03-24 07:32:00,14573
2023-03-24 07:36:00,14580
2023-03-24 07:40:00,14574
2023-03-24 07:44:00,14574
2023-03-24 07:48:00,14577
2023-03-24 07:52:00,14577
2023-03-24 07:56:00,14585
2023-03-24 08:00:00,14600
2023-03-24 08:04:00,14597
2023-03-24 08:08:00,14601
2023-03-24 08:12:00,14603
2023-03-24 08:16:00,14610
2023-03-24 08:20:00,14602
2023-03-24 08:24:00,14602
2023-03-24 08:28:00,14603
2023-03-24 08:32:00,14605
2023-03-24 08:36:00,14613
2023-03-24 08:40:00,14607
2023-03-24 08:44:00,14608
2023-03-24 08:48:00,14607
2023-03-24 08:52:00,14606
2023-03-24 08:56:00,14615
2023-03-24 09:00:00,14611

