"Time","ct4_global delete","ct4_global delete","ct4_global delete","ct_any4_global delete","ct_any4_global delete","ct_any4_global delete","ipcache update","ipcache update","ipcache update","lxc update","lxc update","lxc update","snat_v4_external delete","snat_v4_external delete","snat_v4_external delete","tunnel_map update","tunnel_map update","tunnel_map update"
2023-03-15 15:40:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 15:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 15:44:00,,,31.4,,,3.78,0.0517,,0.0517,,,,,,0.393,,,
2023-03-15 15:46:00,33.4,,31.4,2.77,,3.78,,,,,,,0.441,,,,,
2023-03-15 15:48:00,33.4,,31.4,2.77,,3.78,,,,,,,0.441,,,,,
2023-03-15 15:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 15:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 15:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 15:56:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 15:58:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 16:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 16:02:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 16:04:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 16:06:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 16:08:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 16:10:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 16:12:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 16:14:00,,40.0,,,2.38,,0.0517,,0.0517,,,,,16.4,,,,
2023-03-15 16:16:00,,40.0,,,2.38,,0.0517,,0.0517,,,,,16.4,,,,
2023-03-15 16:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 16:20:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 16:22:00,,,32.4,,,4.19,0.0517,,0.0517,,,,,,0.338,,,
2023-03-15 16:24:00,,,32.4,,,4.19,0.0517,,0.0517,,,,,,0.338,,,
2023-03-15 16:26:00,,,32.4,,,4.19,0.0517,,0.0517,,,,,,0.338,,,
2023-03-15 16:28:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 16:30:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 16:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 16:34:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 16:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 16:38:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
