"Time","FIN","RST","SYN","SYN-ACK"
2023-03-11 19:24:00,15.6,2.70,10.5,9.02
2023-03-11 19:26:00,15.6,2.70,10.4,9
2023-03-11 19:28:00,15.9,2.78,10.6,9.14
2023-03-11 19:30:00,15.6,2.68,10.3,8.94
2023-03-11 19:32:00,15.9,2.80,10.5,9.02
2023-03-11 19:34:00,15.5,2.72,10.3,8.94
2023-03-11 19:36:00,15.7,2.76,10.6,9.10
2023-03-11 19:38:00,15.7,2.68,10.4,9
2023-03-11 19:40:00,15.7,2.68,10.5,9.02
2023-03-11 19:42:00,15.8,2.88,10.5,9.02
2023-03-11 19:44:00,15.7,2.70,10.4,8.98
2023-03-11 19:46:00,15.8,2.82,10.6,9.10
2023-03-11 19:48:00,15.7,2.70,10.4,9
2023-03-11 19:50:00,15.8,2.78,10.5,9.02
2023-03-11 19:52:00,15.7,2.70,10.3,8.94
2023-03-11 19:54:00,15.6,2.70,10.5,9.02
2023-03-11 19:56:00,15.7,2.80,10.5,9.06
2023-03-11 19:58:00,15.8,2.74,10.6,9.08
2023-03-11 20:00:00,15.8,2.86,10.5,9.02
2023-03-11 20:02:00,15.6,2.74,10.3,8.94
2023-03-11 20:04:00,15.7,2.70,10.5,9.02
2023-03-11 20:06:00,15.6,2.86,10.5,9.02
2023-03-11 20:08:00,15.8,2.74,10.6,9.08
2023-03-11 20:10:00,15.6,2.88,10.5,9.08
2023-03-11 20:12:00,15.8,2.64,10.5,9.02
2023-03-11 20:14:00,15.6,2.70,10.5,9.02
2023-03-11 20:16:00,15.8,2.74,10.6,9.10
2023-03-11 20:18:00,15.8,2.72,10.6,9.08
2023-03-11 20:20:00,22.5,6.96,14.3,12.0
2023-03-11 20:22:00,15.8,2.72,10.5,9.02
2023-03-11 20:24:00,15.6,2.76,10.4,8.98
2023-03-11 20:26:00,15.8,2.76,10.6,9.10
2023-03-11 20:28:00,15.8,2.66,10.5,9.06
2023-03-11 20:30:00,25.9,11.5,16.7,13.2
2023-03-11 20:32:00,15.6,2.86,10.5,9.02
2023-03-11 20:34:00,15.7,2.76,10.3,8.94
2023-03-11 20:36:00,15.8,2.80,10.6,9.10
2023-03-11 20:38:00,15.7,2.70,10.4,9
2023-03-11 20:40:00,29.2,15.9,18.9,14.3
2023-03-11 20:42:00,15.5,2.70,10.3,8.94
2023-03-11 20:44:00,15.7,2.72,10.5,9.02
2023-03-11 20:46:00,15.5,2.70,10.5,9.02
2023-03-11 20:48:00,15.8,2.66,10.6,9.08
2023-03-11 20:50:00,32.3,20.2,21.1,15.4
2023-03-11 20:52:00,15.7,2.70,10.5,9.02
2023-03-11 20:54:00,15.7,2.72,10.5,9.02
2023-03-11 20:56:00,15.6,2.70,10.4,9
2023-03-11 20:58:00,15.8,2.62,10.6,9.08
2023-03-11 21:00:00,35.6,24.6,23.1,16.4
2023-03-11 21:02:00,15.8,2.76,10.5,9.02
2023-03-11 21:04:00,15.6,2.74,10.3,8.94
2023-03-11 21:06:00,15.7,2.72,10.6,9.10
2023-03-11 21:08:00,15.6,2.70,10.5,9.04
2023-03-11 21:10:00,37.3,26.9,24.5,17.0
2023-03-11 21:12:00,15.8,2.66,10.5,9.02
