"Time","192.168.0.211:10250 pod","192.168.0.221:10250 pod","192.168.0.222:10250 pod","192.168.0.211:10250 worker","192.168.0.221:10250 worker","192.168.0.222:10250 worker"
2023-03-14 05:44:00,0,0,0,0.433,0.388,0.396
2023-03-14 05:48:00,0,0,0,0.438,0.421,0.408
2023-03-14 05:52:00,0,0,0,0.438,0.379,0.388
2023-03-14 05:56:00,0,0,0,0.450,0.400,0.396
2023-03-14 06:00:00,0,0,0,0.438,0.421,0.400
2023-03-14 06:04:00,0,0,0,0.408,0.388,0.400
2023-03-14 06:08:00,0,0,0,0.454,0.400,0.404
2023-03-14 06:12:00,0,0,0,0.429,0.396,0.383
2023-03-14 06:16:00,0,0,0,0.433,0.400,0.400
2023-03-14 06:20:00,0,0,0,0.446,0.396,0.388
2023-03-14 06:24:00,0,0,0,0.442,0.408,0.400
2023-03-14 06:28:00,0,0,0,0.417,0.392,0.383
2023-03-14 06:32:00,0,0,0,0.454,0.396,0.396
2023-03-14 06:36:00,0,0,0,0.429,0.392,0.396
2023-03-14 06:40:00,0,0,0,0.450,0.408,0.392
2023-03-14 06:44:00,0,0,0,0.433,0.392,0.392
2023-03-14 06:48:00,0,0,0,0.450,0.388,0.417
2023-03-14 06:52:00,0,0,0,0.421,0.408,0.392
2023-03-14 06:56:00,0,0,0,0.446,0.392,0.396
2023-03-14 07:00:00,0,0,0,0.442,0.400,0.400
2023-03-14 07:04:00,0,0,0,0.433,0.396,0.388
2023-03-14 07:08:00,0,0,0,0.429,0.392,0.392
2023-03-14 07:12:00,0,0,0,0.429,0.400,0.408
2023-03-14 07:16:00,0,0,0,0.429,0.383,0.400
2023-03-14 07:20:00,0,0,0,0.458,0.404,0.396
2023-03-14 07:24:00,0,0,0,0.433,0.400,0.388
2023-03-14 07:28:00,0,0,0,0.429,0.388,0.400
2023-03-14 07:32:00,0,0,0,0.454,0.408,0.396
2023-03-14 07:36:00,0,0,0,0.438,0.404,0.404
2023-03-14 07:40:00,0,0,0,0.421,0.400,0.404
2023-03-14 07:44:00,0,0,0,0.438,0.413,0.400
2023-03-14 07:48:00,0,0,0,0.429,0.396,0.392
2023-03-14 07:52:00,0,0,0,0.471,0.379,0.396
