"Time","avg","min","max"
2023-03-17 05:22:00,88.3,88.3,88.3
2023-03-17 05:24:00,86.3,86.3,86.3
2023-03-17 05:26:00,90.9,90.9,90.9
2023-03-17 05:28:00,210,210,210
2023-03-17 05:30:00,85.9,85.9,85.9
2023-03-17 05:32:00,88.3,88.3,88.3
2023-03-17 05:34:00,86.0,86.0,86.0
2023-03-17 05:36:00,91.4,91.4,91.4
2023-03-17 05:38:00,135,135,135
2023-03-17 05:40:00,88.1,88.1,88.1
2023-03-17 05:42:00,88.5,88.5,88.5
2023-03-17 05:44:00,87.7,87.7,87.7
2023-03-17 05:46:00,93.4,93.4,93.4
2023-03-17 05:48:00,87.8,87.8,87.8
2023-03-17 05:50:00,87.5,87.5,87.5
2023-03-17 05:52:00,90.1,90.1,90.1
2023-03-17 05:54:00,86.7,86.7,86.7
2023-03-17 05:56:00,91.6,91.6,91.6
2023-03-17 05:58:00,86.6,86.6,86.6
2023-03-17 06:00:00,88.1,88.1,88.1
2023-03-17 06:02:00,88.6,88.6,88.6
2023-03-17 06:04:00,86.5,86.5,86.5
2023-03-17 06:06:00,91.3,91.3,91.3
2023-03-17 06:08:00,86.6,86.6,86.6
2023-03-17 06:10:00,160,160,160
2023-03-17 06:12:00,89.7,89.7,89.7
2023-03-17 06:14:00,86.2,86.2,86.2
2023-03-17 06:16:00,90.9,90.9,90.9
2023-03-17 06:18:00,86.0,86.0,86.0
2023-03-17 06:20:00,218,218,218
2023-03-17 06:22:00,87.9,87.9,87.9
2023-03-17 06:24:00,86.6,86.6,86.6
2023-03-17 06:26:00,93.6,93.6,93.6
2023-03-17 06:28:00,87.1,87.1,87.1
2023-03-17 06:30:00,161,161,161
2023-03-17 06:32:00,87.1,87.1,87.1
2023-03-17 06:34:00,85.5,85.5,85.5
2023-03-17 06:36:00,91.7,91.7,91.7
2023-03-17 06:38:00,86.6,86.6,86.6
2023-03-17 06:40:00,89.6,89.6,89.6
2023-03-17 06:42:00,87.1,87.1,87.1
2023-03-17 06:44:00,90.2,90.2,90.2
2023-03-17 06:46:00,91.5,91.5,91.5
2023-03-17 06:48:00,87.6,87.6,87.6
2023-03-17 06:50:00,87.9,87.9,87.9
2023-03-17 06:52:00,87.3,87.3,87.3
2023-03-17 06:54:00,87.3,87.3,87.3
2023-03-17 06:56:00,91.3,91.3,91.3
2023-03-17 06:58:00,87.4,87.4,87.4
2023-03-17 07:00:00,87.2,87.2,87.2
2023-03-17 07:02:00,136,136,136
2023-03-17 07:04:00,88.3,88.3,88.3
2023-03-17 07:06:00,91.2,91.2,91.2
2023-03-17 07:08:00,86.9,86.9,86.9
2023-03-17 07:10:00,88.0,88.0,88.0
2023-03-17 07:12:00,209,209,209
2023-03-17 07:14:00,87.2,87.2,87.2
2023-03-17 07:16:00,89.7,89.7,89.7
2023-03-17 07:18:00,85.7,85.7,85.7
2023-03-17 07:20:00,84.5,84.5,84.5
2023-03-17 07:22:00,188,188,188
2023-03-17 07:24:00,86.7,86.7,86.7
2023-03-17 07:26:00,89.1,89.1,89.1
2023-03-17 07:28:00,86.7,86.7,86.7
2023-03-17 07:30:00,84.5,84.5,84.5
2023-03-17 07:32:00,107,107,107
2023-03-17 07:34:00,87.0,87.0,87.0
2023-03-17 07:36:00,90.1,90.1,90.1
2023-03-17 07:38:00,86.3,86.3,86.3
2023-03-17 07:40:00,87.0,87.0,87.0
2023-03-17 07:42:00,88.1,88.1,88.1
2023-03-17 07:44:00,89.4,89.4,89.4
2023-03-17 07:46:00,90.1,90.1,90.1
2023-03-17 07:48:00,87.3,87.3,87.3
2023-03-17 07:50:00,87.0,87.0,87.0
2023-03-17 07:52:00,86.5,86.5,86.5
2023-03-17 07:54:00,106,106,106
2023-03-17 07:56:00,89.8,89.8,89.8
2023-03-17 07:58:00,86.2,86.2,86.2
