"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-16 22:58:00,3.38,1.58,,6.06,9.06,3.32,2.46,2.14,,5.16,1.80,1.68
2023-03-16 23:00:00,3.34,1.52,,6.34,8.92,3.30,2.52,1.94,,5.14,1.84,1.68
2023-03-16 23:02:00,3.34,1.62,,6.04,8.94,3.20,2.54,2.10,,5.24,1.78,1.80
2023-03-16 23:04:00,3.42,1.52,,6.20,8.60,3.18,2.60,2.08,,5.16,1.78,1.68
2023-03-16 23:06:00,3.56,1.88,1.96,6.38,9.06,3.24,2.54,2.04,,5.22,,1.68
2023-03-16 23:08:00,3.42,1.66,,6.22,9.20,3.28,2.54,2.12,,5.18,1.68,1.68
2023-03-16 23:10:00,3.38,1.52,,6.28,8.78,3.34,2.56,2.02,,5.20,1.82,1.66
2023-03-16 23:12:00,3.50,1.62,,5.92,8.70,3.24,2.54,2.04,,5.24,1.78,1.66
2023-03-16 23:14:00,3.36,1.52,,6.10,12.7,3.30,2.60,2.06,,5.12,1.74,1.68
2023-03-16 23:16:00,3.60,1.88,2.16,6.26,9.18,3.26,2.54,1.90,,5.22,,1.68
2023-03-16 23:18:00,3.24,1.58,,6.32,8.64,3.16,2.48,2.06,,5.12,1.72,1.66
2023-03-16 23:20:00,3.38,1.52,,6.22,9.08,3,2.50,2.04,,5.24,1.76,1.68
2023-03-16 23:22:00,3.24,1.62,,6.08,8.82,3.20,2.52,1.96,,5.20,1.72,1.68
2023-03-16 23:24:00,3.46,,,6.12,16.1,3.22,2.50,1.96,59.3,5.16,1.76,1.68
2023-03-16 23:26:00,3.60,1.88,2.18,6.22,8.86,3.24,2.58,2.14,,5.22,1.72,
2023-03-16 23:28:00,3.40,1.58,,6,8.72,3.34,2.52,2.10,,5.20,1.72,1.68
2023-03-16 23:30:00,3.42,1.52,,6.38,8.92,3.26,2.56,2.14,,5.26,1.66,1.68
2023-03-16 23:32:00,3.32,1.62,,6,8.88,3.28,2.50,2.02,,5.14,1.62,1.76
2023-03-16 23:34:00,3.34,,,6.20,12.3,3.46,2.58,2.12,97.1,5.24,1.68,1.70
2023-03-16 23:36:00,3.64,1.88,2.20,6.22,8.94,3.34,2.58,2.18,,5.14,1.76,
2023-03-16 23:38:00,3.36,1.58,,5.94,9.12,3.20,2.56,2.10,,5.20,1.78,1.68
2023-03-16 23:40:00,3.40,1.52,,6.26,9.08,3.18,2.48,2.12,,5.12,1.78,1.68
2023-03-16 23:42:00,3.26,1.62,,6.10,9.26,3.30,2.52,2.14,,5.14,1.78,1.68
2023-03-16 23:44:00,3.32,1.70,,6.04,8.74,3.32,2.52,2.16,34.8,5.22,1.82,
2023-03-16 23:46:00,3.54,2.06,2.16,6.14,9.16,3.22,2.54,2.10,,5.14,1.78,
2023-03-16 23:48:00,3.30,1.58,,6.04,9.04,3.20,2.62,1.96,,5.20,1.70,1.68
2023-03-16 23:50:00,3.40,1.52,,6.26,8.78,3.06,2.50,2.08,,5.20,1.78,1.66
2023-03-16 23:52:00,3.46,1.62,,6.18,8.78,3.20,2.52,1.94,,5.18,1.64,1.68
2023-03-16 23:54:00,3.26,1.52,,6.20,9.04,3.24,2.54,2.06,,5.18,1.80,1.68
2023-03-16 23:56:00,3.56,1.88,2.16,6.22,8.72,3.28,2.48,2.10,,5.16,1.74,
2023-03-16 23:58:00,3.10,1.58,,5.94,8.84,3.24,2.52,2.06,,5.22,1.74,1.68
2023-03-17 00:00:00,3.38,1.52,,6.42,8.72,3.12,2.56,1.90,,5.26,1.76,1.70
2023-03-17 00:02:00,3.36,1.62,,5.80,8.98,3.20,2.54,2.02,,5.18,1.72,1.68
2023-03-17 00:04:00,3.42,1.52,,5.90,9.34,3.28,2.54,2.10,,5.14,1.66,1.68
2023-03-17 00:06:00,3.64,1.88,3.08,6.22,14.3,3.28,2.54,2.10,6.20,5.20,,
2023-03-17 00:08:00,3.28,1.66,,6.06,9.30,3.12,2.56,2.08,,5.10,1.78,1.68
2023-03-17 00:10:00,3.20,1.52,,6.34,9.42,3.28,2.54,2.02,,5.20,1.76,1.72
2023-03-17 00:12:00,3.34,1.62,,6.28,9.04,3.28,2.50,2.04,,5.24,1.72,1.68
2023-03-17 00:14:00,3.38,1.52,,6.12,8.88,3.24,2.50,1.98,,5.22,1.74,1.68
2023-03-17 00:16:00,3.50,1.88,3.06,6.38,16.2,3.32,2.58,2.16,75.2,5.24,,
2023-03-17 00:18:00,3.26,1.58,,6.14,9.16,3.30,2.52,2.04,,5.18,1.78,1.66
2023-03-17 00:20:00,3.42,1.52,,6.30,8.86,3.30,2.54,1.98,,5.24,1.76,1.68
2023-03-17 00:22:00,3.40,1.62,,6.20,9.22,3.28,2.54,2.18,,5.16,1.64,1.66
2023-03-17 00:24:00,3.30,1.52,,6.08,8.92,3.14,2.48,2.08,,5.26,1.76,1.68
2023-03-17 00:26:00,3.52,1.88,2.14,6.06,11.0,3.26,2.56,2.12,93.6,5.18,,
2023-03-17 00:28:00,3.36,1.58,,6.06,9.10,3.22,2.50,2.06,,5.14,1.60,1.68
2023-03-17 00:30:00,3.50,1.52,,5.96,9.14,3.20,2.48,2.10,,5.18,1.52,1.68
2023-03-17 00:32:00,3.30,1.62,,6.10,8.70,3.20,2.56,2.02,,5.12,1.64,1.64
2023-03-17 00:34:00,3.48,1.52,,6.14,9.04,3.04,2.54,2.10,,5.20,1.70,1.68
2023-03-17 00:36:00,3.60,1.88,2.22,6.26,8.78,3.32,2.50,2,26.4,5.08,,
2023-03-17 00:38:00,3.28,1.58,,6.12,9.14,2.94,2.52,1.96,,5.18,1.78,1.68
2023-03-17 00:40:00,3.38,1.52,,6.24,8.72,3.14,2.54,2.02,,5.22,1.78,1.66
2023-03-17 00:42:00,3.48,1.62,,6.06,8.78,3.34,2.50,2.06,,5.24,1.66,1.68
2023-03-17 00:44:00,3.38,1.70,,5.94,8.92,3.32,2.52,2.10,,5.14,1.74,1.66
2023-03-17 00:46:00,3.60,2.06,2.18,6.20,9.12,3.30,2.56,2.16,,5.16,,1.70
2023-03-17 00:48:00,3.38,1.58,,6.16,8.74,3.32,2.54,2.08,,5.18,1.56,1.66
2023-03-17 00:50:00,3.40,1.52,,6.08,8.46,3.28,2.56,2.12,,5.12,1.78,1.66
2023-03-17 00:52:00,3.44,1.62,,6.06,8.64,3.28,2.52,2.04,,5.08,1.70,1.68
