"Time","Drop","PolicyVerdict","Trace"
2023-03-15 22:44:00,0.0400,1.26,88.6
2023-03-15 22:46:00,0,1.46,89.9
2023-03-15 22:48:00,0,1.26,86.3
2023-03-15 22:50:00,0,1.12,86.1
2023-03-15 22:52:00,0,1.26,171
2023-03-15 22:54:00,0.0400,1.26,86.7
2023-03-15 22:56:00,0,1.46,89
2023-03-15 22:58:00,0,1.24,87.2
2023-03-15 23:00:00,0.0400,1.10,86.9
2023-03-15 23:02:00,0.0600,1.12,220
2023-03-15 23:04:00,0.0800,1.24,86.3
2023-03-15 23:06:00,0.0400,1.60,90.7
2023-03-15 23:08:00,0.0400,1.26,84.6
2023-03-15 23:10:00,0,1.10,84.3
2023-03-15 23:12:00,0,1.10,141
2023-03-15 23:14:00,0,1.26,86.2
2023-03-15 23:16:00,0.0400,1.62,89.0
2023-03-15 23:18:00,0,1.26,85.3
2023-03-15 23:20:00,0.0200,1.10,84.6
2023-03-15 23:22:00,0,1.26,88.0
2023-03-15 23:24:00,0.0200,1.10,86.6
2023-03-15 23:26:00,0.0200,1.62,91.1
2023-03-15 23:28:00,0.0200,1.10,85.9
2023-03-15 23:30:00,0.0400,1.10,88.2
2023-03-15 23:32:00,0.0200,1.10,86.2
2023-03-15 23:34:00,0,1.10,98.3
2023-03-15 23:36:00,0,1.46,91.3
2023-03-15 23:38:00,0,1.26,86.5
2023-03-15 23:40:00,0.0400,1.10,86.9
2023-03-15 23:42:00,0,1.26,88.1
2023-03-15 23:44:00,0,1.10,180
2023-03-15 23:46:00,0.0400,1.46,90.6
2023-03-15 23:48:00,0.0800,1.12,87.4
2023-03-15 23:50:00,0.0200,1.26,86.6
2023-03-15 23:52:00,0.0600,1.10,86.8
2023-03-15 23:54:00,0,1.10,204
2023-03-15 23:56:00,0,1.62,89.9
2023-03-15 23:58:00,0,1.10,85.5
2023-03-16 00:00:00,0,1.26,85.4
2023-03-16 00:02:00,0,1.10,86.1
2023-03-16 00:04:00,0.0200,1.10,119
2023-03-16 00:06:00,0.0400,1.48,90.9
2023-03-16 00:08:00,0,1.10,86.6
2023-03-16 00:10:00,0.0200,1.26,86.8
2023-03-16 00:12:00,0.0800,1.10,86.1
2023-03-16 00:14:00,0.0200,1.24,86.3
2023-03-16 00:16:00,0.0200,1.64,91.0
2023-03-16 00:18:00,0.0200,1.10,87.1
2023-03-16 00:20:00,0,1.26,87.2
2023-03-16 00:22:00,0,1.10,87.4
2023-03-16 00:24:00,0,1.10,87.2
2023-03-16 00:26:00,0,1.66,122
2023-03-16 00:28:00,0,1.10,85.4
2023-03-16 00:30:00,0.0400,1.26,85.7
2023-03-16 00:32:00,0,1.10,86.6
2023-03-16 00:34:00,0.0800,1.26,86.7
2023-03-16 00:36:00,0,1.66,204
2023-03-16 00:38:00,0.0200,1.10,85.8
2023-03-16 00:40:00,0.0200,1.26,85.9
2023-03-16 00:42:00,0.0600,1.10,86.8
2023-03-16 00:44:00,0,1.10,87.7
2023-03-16 00:46:00,0,1.66,190
2023-03-16 00:48:00,0,1.28,86.9
2023-03-16 00:50:00,0,1.30,86.7
2023-03-16 00:52:00,0,1.10,86.9
2023-03-16 00:54:00,0,1.26,88.6
2023-03-16 00:56:00,0,1.52,107
2023-03-16 00:58:00,0.0200,1.26,86.2
2023-03-16 01:00:00,0.0400,1.26,86.8
2023-03-16 01:02:00,0.0400,1.10,87.9
2023-03-16 01:04:00,0.1000,1.26,86.5
2023-03-16 01:06:00,0.0600,1.50,90.2
2023-03-16 01:08:00,0,1.26,85.2
2023-03-16 01:10:00,0,1.26,86.3
2023-03-16 01:12:00,0,1.24,87.5
2023-03-16 01:14:00,0,1.26,86.0
2023-03-16 01:16:00,0.0200,1.50,91.7
2023-03-16 01:18:00,0,1.10,137
2023-03-16 01:20:00,0.0200,1.12,86.7
2023-03-16 01:22:00,0.0400,1.10,87.8
2023-03-16 01:24:00,0.0200,1.26,85.5
2023-03-16 01:26:00,0.0600,1.50,90.3
2023-03-16 01:28:00,0.0400,1.26,214
2023-03-16 01:30:00,0,1.10,87.7
2023-03-16 01:32:00,0,1.26,88.5
2023-03-16 01:34:00,0,1.30,86.1
2023-03-16 01:36:00,0,1.50,89.9
2023-03-16 01:38:00,0.0200,1.10,172
2023-03-16 01:40:00,0,1.12,85.1
2023-03-16 01:42:00,0,1.10,86.5
2023-03-16 01:44:00,0.0200,1.10,86.0
2023-03-16 01:46:00,0.0400,1.62,90.2
2023-03-16 01:48:00,0.0800,1.26,92.7
2023-03-16 01:50:00,0.120,1.10,84.0
2023-03-16 01:52:00,0.0200,1.26,87
2023-03-16 01:54:00,0,1.10,86.2
2023-03-16 01:56:00,0,1.64,90.4
2023-03-16 01:58:00,0,1.26,87.2
2023-03-16 02:00:00,0,1.10,84.5
2023-03-16 02:02:00,0.0600,1.10,87.3
2023-03-16 02:04:00,0.0200,1.12,86.1
2023-03-16 02:06:00,0,1.66,90.7
2023-03-16 02:08:00,0,1.10,85.2
2023-03-16 02:10:00,0.0600,1.10,152
2023-03-16 02:12:00,0.0400,1.26,87.2
2023-03-16 02:14:00,0.0200,1.10,85.7
2023-03-16 02:16:00,0.0400,1.50,90.6
2023-03-16 02:18:00,0,1.26,86.0
2023-03-16 02:20:00,0,1.10,216
2023-03-16 02:22:00,0,1.26,88.9
2023-03-16 02:24:00,0,1.10,85.6
2023-03-16 02:26:00,0.0200,1.50,90
2023-03-16 02:28:00,0,1.26,86.2
2023-03-16 02:30:00,0.0400,1.30,153
2023-03-16 02:32:00,0.0200,1.26,87.4
2023-03-16 02:34:00,0.100,1.10,86.5
2023-03-16 02:36:00,0,1.52,90.2
2023-03-16 02:38:00,0.0200,1.10,86.6
2023-03-16 02:40:00,0.0400,1.26,85.3
2023-03-16 02:42:00,0,1.26,87.1
2023-03-16 02:44:00,0,1.10,88.0
2023-03-16 02:46:00,0,1.50,90.4
2023-03-16 02:48:00,0,1.10,86.0
2023-03-16 02:50:00,0,1.10,85.6
2023-03-16 02:52:00,0.0200,1.10,86.2
2023-03-16 02:54:00,0,1.28,85.9
2023-03-16 02:56:00,0.0800,1.64,90.9
2023-03-16 02:58:00,0.0200,1.10,86.9
2023-03-16 03:00:00,0.0200,1.26,86.0
2023-03-16 03:02:00,0.100,1.10,168
2023-03-16 03:04:00,0.0200,1.26,85.3
2023-03-16 03:06:00,0,1.50,90.9
2023-03-16 03:08:00,0,1.10,84.1
2023-03-16 03:10:00,0,1.26,85.9
2023-03-16 03:12:00,0,1.10,221
2023-03-16 03:14:00,0.0400,1.28,88.0
2023-03-16 03:16:00,0,1.50,90.2
2023-03-16 03:18:00,0.0600,1.24,86.1
2023-03-16 03:20:00,0.0400,1.10,85.9
2023-03-16 03:22:00,0.0200,1.10,134
2023-03-16 03:24:00,0.0400,1.26,86.6
2023-03-16 03:26:00,0.0800,1.66,90.7
2023-03-16 03:28:00,0.0200,1.24,86.3
2023-03-16 03:30:00,0,1.26,87.7
2023-03-16 03:32:00,0,1.10,86.2
2023-03-16 03:34:00,0,1.10,85.9
2023-03-16 03:36:00,0,1.52,89.7
2023-03-16 03:38:00,0.0200,1.26,86.2
2023-03-16 03:40:00,0.0200,1.10,85.2
2023-03-16 03:42:00,0,1.10,86.7
2023-03-16 03:44:00,0,1.26,104
2023-03-16 03:46:00,0.0800,1.50,90.2
2023-03-16 03:48:00,0.0600,1.26,87.0
2023-03-16 03:50:00,0.0200,1.10,86.5
2023-03-16 03:52:00,0.0400,1.24,88.1
2023-03-16 03:54:00,0,1.26,187
2023-03-16 03:56:00,0,1.54,89.2
2023-03-16 03:58:00,0,1.26,86.3
2023-03-16 04:00:00,0,1.12,84.7
2023-03-16 04:02:00,0.0400,1.28,88.1
2023-03-16 04:04:00,0.0400,1.26,201
2023-03-16 04:06:00,0.0200,1.48,90.5
2023-03-16 04:08:00,0.0400,1.26,86.4
2023-03-16 04:10:00,0.0200,1.10,85.5
2023-03-16 04:12:00,0.100,1.26,87.2
2023-03-16 04:14:00,0.0400,1.26,119
2023-03-16 04:16:00,0.0400,1.64,90.9
2023-03-16 04:18:00,0,1.26,87.4
2023-03-16 04:20:00,0,1.10,84.5
