"Time","FIN","RST","SYN","SYN-ACK"
2023-03-15 22:32:00,13.5,2.76,9.36,7.94
2023-03-15 22:34:00,13.5,2.74,9.38,7.94
2023-03-15 22:36:00,13.6,2.68,9.42,7.98
2023-03-15 22:38:00,13.4,2.66,9.30,7.90
2023-03-15 22:40:00,13.4,2.68,9.38,7.94
2023-03-15 22:42:00,13.6,2.76,9.40,7.96
2023-03-15 22:44:00,13.6,2.76,9.44,8
2023-03-15 22:46:00,13.8,2.78,9.50,8.02
2023-03-15 22:48:00,13.7,2.74,9.38,7.94
2023-03-15 22:50:00,13.5,2.74,9.34,7.92
2023-03-15 22:52:00,28.3,16.9,18.3,14.0
2023-03-15 22:54:00,13.5,2.70,9.38,7.94
2023-03-15 22:56:00,13.5,2.62,9.50,8.02
2023-03-15 22:58:00,13.7,2.82,9.38,7.94
2023-03-15 23:00:00,13.5,2.68,9.32,7.92
2023-03-15 23:02:00,35.1,26.9,23.3,15.8
2023-03-15 23:04:00,13.6,2.70,9.38,7.94
2023-03-15 23:06:00,13.6,2.66,9.52,8.04
2023-03-15 23:08:00,13.6,2.76,9.38,7.94
2023-03-15 23:10:00,13.3,2.62,9.30,7.90
2023-03-15 23:12:00,21.3,13.9,14.9,10.1
2023-03-15 23:14:00,13.6,2.80,9.38,7.94
2023-03-15 23:16:00,13.7,2.76,9.58,8.06
2023-03-15 23:18:00,13.5,2.66,9.38,7.94
2023-03-15 23:20:00,13.5,2.66,9.30,7.90
2023-03-15 23:22:00,13.7,2.96,9.40,7.96
2023-03-15 23:24:00,13.4,2.68,9.30,7.90
2023-03-15 23:26:00,13.8,2.68,9.58,8.06
2023-03-15 23:28:00,13.6,2.72,9.30,7.90
2023-03-15 23:30:00,13.5,2.78,9.30,7.90
2023-03-15 23:32:00,13.6,2.80,9.32,7.92
2023-03-15 23:34:00,16.3,3.88,10.8,9.40
2023-03-15 23:36:00,13.6,2.72,9.50,8.02
2023-03-15 23:38:00,13.4,2.62,9.38,7.94
2023-03-15 23:40:00,13.5,2.78,9.30,7.90
2023-03-15 23:42:00,13.7,2.76,9.40,7.96
2023-03-15 23:44:00,29.8,19.0,19.3,14.6
2023-03-15 23:46:00,13.8,2.76,9.50,8.02
2023-03-15 23:48:00,13.7,2.70,9.34,7.92
2023-03-15 23:50:00,13.5,2.62,9.38,7.94
2023-03-15 23:52:00,13.6,2.82,9.32,7.92
2023-03-15 23:54:00,32.3,25.8,21.8,14.3
2023-03-15 23:56:00,13.7,2.82,9.56,8.04
2023-03-15 23:58:00,13.5,2.62,9.32,7.92
2023-03-16 00:00:00,13.6,2.78,9.38,7.94
2023-03-16 00:02:00,13.6,2.90,9.32,7.92
2023-03-16 00:04:00,18,9.74,12.8,9
2023-03-16 00:06:00,13.6,2.78,9.52,8.04
2023-03-16 00:08:00,13.6,2.66,9.30,7.90
2023-03-16 00:10:00,13.7,2.86,9.38,7.94
2023-03-16 00:12:00,13.6,2.80,9.32,7.92
2023-03-16 00:14:00,13.6,2.78,9.34,7.92
2023-03-16 00:16:00,13.7,2.74,9.60,8.08
2023-03-16 00:18:00,13.6,2.70,9.30,7.90
2023-03-16 00:20:00,13.5,2.72,9.38,7.94
2023-03-16 00:22:00,13.5,2.86,9.32,7.92
2023-03-16 00:24:00,13.5,2.78,9.30,7.90
2023-03-16 00:26:00,20.0,5.82,13.0,11.3
2023-03-16 00:28:00,13.5,2.68,9.30,7.90
2023-03-16 00:30:00,13.5,2.66,9.38,7.94
2023-03-16 00:32:00,13.6,2.72,9.30,7.92
2023-03-16 00:34:00,13.5,2.72,9.38,7.94
2023-03-16 00:36:00,33.1,23.2,21.7,15.7
2023-03-16 00:38:00,13.6,2.74,9.32,7.92
2023-03-16 00:40:00,13.7,2.86,9.38,7.94
2023-03-16 00:42:00,13.6,2.84,9.32,7.92
2023-03-16 00:44:00,13.5,2.68,9.36,7.96
2023-03-16 00:46:00,28.6,23.2,19.9,12.5
2023-03-16 00:48:00,13.7,2.72,9.42,7.96
2023-03-16 00:50:00,13.6,2.72,9.46,7.98
2023-03-16 00:52:00,13.7,2.86,9.32,7.92
2023-03-16 00:54:00,13.5,2.68,9.38,7.94
2023-03-16 00:56:00,15.3,5.92,11.2,8.24
2023-03-16 00:58:00,13.5,2.74,9.38,7.94
2023-03-16 01:00:00,13.7,2.74,9.38,7.94
2023-03-16 01:02:00,13.6,2.96,9.34,7.94
2023-03-16 01:04:00,13.5,2.68,9.38,7.94
2023-03-16 01:06:00,13.6,2.74,9.58,8.06
