"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-15 17:02:00,3.44,,1.62,,6.20,8.74,3.30,2.52,2.02,,5.22,1.70,1.68
2023-03-15 17:04:00,3.48,,1.52,,6.06,9.02,3.26,2.54,2.10,,5.20,1.64,1.68
2023-03-15 17:06:00,3.64,,1.88,1.80,6.32,8.74,3.26,2.54,2.10,,5.14,1.74,
2023-03-15 17:08:00,3.44,,,,6.10,15.9,3.46,2.58,2.14,95.9,5.16,1.66,1.68
2023-03-15 17:10:00,3.42,,1.52,,6.04,8.86,3.30,2.54,2.04,,5.20,1.72,1.68
2023-03-15 17:12:00,3.56,,1.62,,6.06,8.92,3.16,2.52,2.06,,5.24,1.66,1.66
2023-03-15 17:14:00,3.34,,1.52,,6.28,8.64,3.26,2.50,2.16,,5.22,1.64,1.68
2023-03-15 17:16:00,3.48,,1.88,1.84,6.28,8.74,3.28,2.50,2.16,,5.12,1.68,
2023-03-15 17:18:00,3.46,,,,6.04,8.82,3.38,2.50,2.08,69.1,5.22,1.64,1.68
2023-03-15 17:20:00,3.24,,1.52,,6.16,8.78,3.24,2.54,2.06,,5.12,1.66,1.70
2023-03-15 17:22:00,3.50,,1.62,,6.04,8.62,3.22,2.56,2.10,,5.18,1.74,1.68
2023-03-15 17:24:00,3.28,,1.52,,6.02,8.82,3.28,2.58,2.06,,5.16,1.64,1.68
2023-03-15 17:26:00,3.44,,1.88,1.80,6.28,8.80,3.14,2.56,2.10,,5.22,,1.68
2023-03-15 17:28:00,3.34,,,,5.94,8.70,3.02,2.54,1.88,3.70,5.18,1.76,1.66
2023-03-15 17:30:00,3.34,,1.52,,6.10,8.86,3.24,2.56,2.12,,5.16,1.74,1.68
2023-03-15 17:32:00,3.46,,1.62,,6.14,9.04,3.18,2.54,2.12,,5.16,1.66,1.68
2023-03-15 17:34:00,3.42,,1.52,,5.96,8.58,3.18,2.58,2.14,,5.18,1.64,1.68
2023-03-15 17:36:00,3.52,,1.88,1.94,6.18,8.44,3.26,2.52,2.06,,5.14,1.70,
2023-03-15 17:38:00,3.44,,1.58,,5.98,8.46,3.08,2.56,2.08,,5.12,1.58,1.76
2023-03-15 17:40:00,3.58,,1.52,,6.34,9.38,3.28,2.52,2.06,,5.16,1.74,1.70
2023-03-15 17:42:00,3.34,,1.62,,6.24,9.42,3.22,2.54,2.08,,5.20,1.74,1.68
2023-03-15 17:44:00,3.44,,1.70,,6.02,9.40,3.26,2.48,2.06,,5.24,1.68,1.68
2023-03-15 17:46:00,3.54,,2.06,2.22,6.26,9.26,3.16,2.52,2.12,,5.14,1.76,
2023-03-15 17:48:00,3.42,,1.58,,6,9.28,3.32,2.52,2.12,,5.20,1.78,1.68
2023-03-15 17:50:00,3.56,,,,6.08,16.0,3.26,2.50,2.02,44.1,5.18,1.66,1.70
2023-03-15 17:52:00,3.32,,1.62,,6.16,9.16,3.32,2.58,2.10,,5.24,1.74,1.68
2023-03-15 17:54:00,3.42,,1.52,,6.20,9.08,3.30,2.52,2.12,,5.22,1.74,1.68
2023-03-15 17:56:00,3.46,,1.88,1.84,6.18,9.30,3.20,2.54,2.02,,5.20,1.74,
2023-03-15 17:58:00,3.36,,1.58,,6.04,9.18,3.20,2.54,2.04,,5.20,1.74,1.68
2023-03-15 18:00:00,3.50,,,,6.20,16.2,3.28,2.52,2.04,99.0,5.26,1.72,1.66
2023-03-15 18:02:00,3.44,,1.62,,5.96,9.10,3.34,2.52,2.06,,5.16,1.66,1.76
2023-03-15 18:04:00,3.34,,1.52,,6.04,9.10,3.20,2.52,2.16,,5.22,1.78,1.68
