"Time","failure","success","failure","success","failure","success"
2023-03-22 04:52:00,,0.0000447,,0.0000528,,0.0000416
2023-03-22 04:54:00,,0.0000593,,0.0000520,,0.0000558
2023-03-22 04:56:00,,0.0000383,,0.0000492,,0.0000528
2023-03-22 04:58:00,,0.0000569,,0.0000444,,0.0000402
2023-03-22 05:00:00,,0.0000626,,0.0000481,,0.0000508
2023-03-22 05:02:00,,0.0000585,,0.0000691,,0.0000457
2023-03-22 05:04:00,,0.0000411,,0.0000581,,0.0000438
2023-03-22 05:06:00,,0.0000577,,0.0000680,,0.0000496
2023-03-22 05:08:00,,0.0000535,,0.0000514,,0.0000452
2023-03-22 05:10:00,,0.0000595,,0.0000564,,0.0000816
2023-03-22 05:12:00,,0.0000506,,0.0000506,,0.0000567
2023-03-22 05:14:00,,0.0000571,,0.0000467,,0.0000481
2023-03-22 05:16:00,,0.0000439,,0.0000578,,0.0000472
2023-03-22 05:18:00,,0.0000431,,0.0000599,,0.0000489
2023-03-22 05:20:00,,0.0000524,,0.0000469,,0.0000466
2023-03-22 05:22:00,,0.0000661,,0.0000515,,0.0000469
2023-03-22 05:24:00,,0.0000502,,0.0000515,,0.0000463
2023-03-22 05:26:00,,0.0000390,,0.0000385,,0.0000406
2023-03-22 05:28:00,,0.0000378,,0.0000497,,0.0000504
2023-03-22 05:30:00,,0.0000380,,0.0000477,,0.0000451
2023-03-22 05:32:00,,0.0000484,,0.0000408,,0.0000362
2023-03-22 05:34:00,,0.0000388,,0.0000459,,0.0000423
2023-03-22 05:36:00,,0.0000356,,0.0000465,,0.0000481
2023-03-22 05:38:00,,0.0000369,,0.0000465,,0.0000437
2023-03-22 05:40:00,,0.0000370,,0.0000379,,0.0000375
2023-03-22 05:42:00,,0.0000481,,0.0000410,,0.0000355
2023-03-22 05:44:00,,0.0000449,,0.0000461,,0.0000362
2023-03-22 05:46:00,,0.0000470,,0.0000366,,0.0000376
2023-03-22 05:48:00,,0.0000489,,0.0000367,,0.0000428
2023-03-22 05:50:00,,0.0000413,,0.0000472,,0.0000426
