"Time","all nodes","min/node","avg/node","max/node"
2023-03-23 21:10:00,343,109,114,121
2023-03-23 21:12:00,341,109,114,116
2023-03-23 21:14:00,348,109,116,121
2023-03-23 21:16:00,339,107,113,118
2023-03-23 21:18:00,341,112,114,116
2023-03-23 21:20:00,344,109,115,119
2023-03-23 21:22:00,344,109,115,119
2023-03-23 21:24:00,338,108,113,116
2023-03-23 21:26:00,346,114,115,116
2023-03-23 21:28:00,339,107,113,116
2023-03-23 21:30:00,346,109,115,121
2023-03-23 21:32:00,346,114,115,116
2023-03-23 21:34:00,345,113,115,116
2023-03-23 21:36:00,348,114,116,119
2023-03-23 21:38:00,342,108,114,119
2023-03-23 21:40:00,343,108,114,119
2023-03-23 21:42:00,345,110,115,119
2023-03-23 21:44:00,339,109,113,116
2023-03-23 21:46:00,344,112,115,116
2023-03-23 21:48:00,350,115,117,119
2023-03-23 21:50:00,343,111,114,116
2023-03-23 21:52:00,347,115,116,116
2023-03-23 21:54:00,350,115,117,119
2023-03-23 21:56:00,346,114,115,117
2023-03-23 21:58:00,346,115,115,116
2023-03-23 22:00:00,343,113,114,116
2023-03-23 22:02:00,341,109,114,116
2023-03-23 22:04:00,345,114,115,116
2023-03-23 22:06:00,338,109,113,116
2023-03-23 22:08:00,345,112,115,121
2023-03-23 22:10:00,334,109,111,114
2023-03-23 22:12:00,337,108,112,116
2023-03-23 22:14:00,343,111,114,116
2023-03-23 22:16:00,352,116,117,119
2023-03-23 22:18:00,345,110,115,119
2023-03-23 22:20:00,342,111,114,116
2023-03-23 22:22:00,337,107,112,116
2023-03-23 22:24:00,341,110,114,116
2023-03-23 22:26:00,350,115,117,119
2023-03-23 22:28:00,344,108,115,119
2023-03-23 22:30:00,344,113,115,117
2023-03-23 22:32:00,341,113,114,114
2023-03-23 22:34:00,351,115,117,119
2023-03-23 22:36:00,349,116,116,117
2023-03-23 22:38:00,339,109,113,116
2023-03-23 22:40:00,348,113,116,119
2023-03-23 22:42:00,346,114,115,116
2023-03-23 22:44:00,350,115,117,119
2023-03-23 22:46:00,348,112,116,120
2023-03-23 22:48:00,343,108,114,119
2023-03-23 22:50:00,341,111,114,116
2023-03-23 22:52:00,332,109,111,114
2023-03-23 22:54:00,341,109,114,116
2023-03-23 22:56:00,341,109,114,116
2023-03-23 22:58:00,335,107,112,119
2023-03-23 23:00:00,351,116,117,119
2023-03-23 23:02:00,347,112,116,119
2023-03-23 23:04:00,344,110,115,118
2023-03-23 23:06:00,344,109,115,119
2023-03-23 23:08:00,340,108,113,116
2023-03-23 23:10:00,348,113,116,119
2023-03-23 23:12:00,342,113,114,116
2023-03-23 23:14:00,344,112,115,116
2023-03-23 23:16:00,348,114,116,119
2023-03-23 23:18:00,337,109,112,119
2023-03-23 23:20:00,348,113,116,119
2023-03-23 23:22:00,343,113,114,116
2023-03-23 23:24:00,340,109,113,117
2023-03-23 23:26:00,337,109,112,114
2023-03-23 23:28:00,348,116,116,116
2023-03-23 23:30:00,341,109,114,116
2023-03-23 23:32:00,347,114,116,117
2023-03-23 23:34:00,342,110,114,116
2023-03-23 23:36:00,352,116,117,119
2023-03-23 23:38:00,353,116,118,119
2023-03-23 23:40:00,349,110,116,121
2023-03-23 23:42:00,345,109,115,119
2023-03-23 23:44:00,346,113,115,117
2023-03-23 23:46:00,351,115,117,120
2023-03-23 23:48:00,349,113,116,120
2023-03-23 23:50:00,346,109,115,121
2023-03-23 23:52:00,353,116,118,120
2023-03-23 23:54:00,339,109,113,116
2023-03-23 23:56:00,349,114,116,119
2023-03-23 23:58:00,346,114,115,116
2023-03-24 00:00:00,348,116,116,116
2023-03-24 00:02:00,342,110,114,120
2023-03-24 00:04:00,338,109,113,116
2023-03-24 00:06:00,344,112,115,116
2023-03-24 00:08:00,343,110,114,117
