"Time","DROPPED","FORWARDED"
2023-03-12 00:58:00,0.0400,88.4
2023-03-12 01:00:00,0.160,88.7
2023-03-12 01:02:00,0.0600,92.7
2023-03-12 01:04:00,0.0400,91.4
2023-03-12 01:06:00,0.0600,89.9
2023-03-12 01:08:00,0.0600,88.6
2023-03-12 01:10:00,0,86.9
2023-03-12 01:12:00,0,91.9
2023-03-12 01:14:00,0,92.0
2023-03-12 01:16:00,0,87.9
2023-03-12 01:18:00,0.0200,89.5
2023-03-12 01:20:00,0.0200,87.1
2023-03-12 01:22:00,0.0400,93.0
2023-03-12 01:24:00,0,90.5
2023-03-12 01:26:00,0.0200,87.7
2023-03-12 01:28:00,0.0200,89.2
2023-03-12 01:30:00,0.0200,88.8
2023-03-12 01:32:00,0,91.4
2023-03-12 01:34:00,0,89.5
2023-03-12 01:36:00,0,90.7
2023-03-12 01:38:00,0,90.4
2023-03-12 01:40:00,0,85.3
2023-03-12 01:42:00,0,90.3
2023-03-12 01:44:00,0.0200,101
2023-03-12 01:46:00,0,88.2
2023-03-12 01:48:00,0.0400,85.4
2023-03-12 01:50:00,0.0400,87.1
2023-03-12 01:52:00,0.0600,89.9
2023-03-12 01:54:00,0.0400,124
2023-03-12 01:56:00,0.0200,88
2023-03-12 01:58:00,0,87
2023-03-12 02:00:00,0,86.3
2023-03-12 02:02:00,0,88.3
2023-03-12 02:04:00,0,139
2023-03-12 02:06:00,0,86.8
2023-03-12 02:08:00,0,86.3
2023-03-12 02:10:00,0.0400,89.0
2023-03-12 02:12:00,0.0200,90.1
2023-03-12 02:14:00,0,161
2023-03-12 02:16:00,0.0200,88.1
2023-03-12 02:18:00,0.0800,86.8
2023-03-12 02:20:00,0,86.3
2023-03-12 02:22:00,0,89.7
2023-03-12 02:24:00,0,180
2023-03-12 02:26:00,0,91.1
2023-03-12 02:28:00,0.0200,88.6
2023-03-12 02:30:00,0.0200,88.8
2023-03-12 02:32:00,0.0400,96.4
2023-03-12 02:34:00,0,209
2023-03-12 02:36:00,0.0400,95.4
2023-03-12 02:38:00,0.0600,91.3
2023-03-12 02:40:00,0,94.1
2023-03-12 02:42:00,0.0400,96.9
2023-03-12 02:44:00,0,225
2023-03-12 02:46:00,0,93
2023-03-12 02:48:00,0,91.7
2023-03-12 02:50:00,0,92.8
2023-03-12 02:52:00,0,94.6
2023-03-12 02:54:00,0.0200,225
2023-03-12 02:56:00,0.0200,91.2
2023-03-12 02:58:00,0.0200,91.9
2023-03-12 03:00:00,0.160,90.9
2023-03-12 03:02:00,0.120,94.5
2023-03-12 03:04:00,0.0400,211
2023-03-12 03:06:00,0.100,91.8
2023-03-12 03:08:00,0,91.1
2023-03-12 03:10:00,0,91.9
2023-03-12 03:12:00,0,95.4
2023-03-12 03:14:00,0,187
2023-03-12 03:16:00,0.0400,93.3
2023-03-12 03:18:00,0,88.8
2023-03-12 03:20:00,0.0200,92.5
2023-03-12 03:22:00,0.0600,93.1
2023-03-12 03:24:00,0,165
2023-03-12 03:26:00,0.0400,92.4
2023-03-12 03:28:00,0.0400,90.1
2023-03-12 03:30:00,0.0200,91.7
2023-03-12 03:32:00,0,93.4
2023-03-12 03:34:00,0,146
2023-03-12 03:36:00,0,93.8
2023-03-12 03:38:00,0,89.0
2023-03-12 03:40:00,0.0200,89.2
2023-03-12 03:42:00,0,93.9
2023-03-12 03:44:00,0.0200,123
2023-03-12 03:46:00,0.0400,93.1
2023-03-12 03:48:00,0.0200,89.9
2023-03-12 03:50:00,0.0200,88.0
2023-03-12 03:52:00,0.0600,93.9
2023-03-12 03:54:00,0.0400,98.5
2023-03-12 03:56:00,0,91.8
2023-03-12 03:58:00,0,87.4
2023-03-12 04:00:00,0,89.3
2023-03-12 04:02:00,0,94.4
2023-03-12 04:04:00,0.100,91.8
2023-03-12 04:06:00,0.0200,89.4
2023-03-12 04:08:00,0.0200,89.1
2023-03-12 04:10:00,0.0400,89.4
2023-03-12 04:12:00,0.140,92.9
2023-03-12 04:14:00,0.0200,91.8
2023-03-12 04:16:00,0.0400,89.1
2023-03-12 04:18:00,0.0200,89.1
2023-03-12 04:20:00,0,88.8
2023-03-12 04:22:00,0,93.3
2023-03-12 04:24:00,0,91.4
2023-03-12 04:26:00,0,88.4
2023-03-12 04:28:00,0.0400,90.1
2023-03-12 04:30:00,0.0200,88.4
2023-03-12 04:32:00,0.0200,92.6
2023-03-12 04:34:00,0.0600,91.1
2023-03-12 04:36:00,0.0600,90.7
2023-03-12 04:38:00,0,89.2
2023-03-12 04:40:00,0.0600,87.2
2023-03-12 04:42:00,0,92.8
2023-03-12 04:44:00,0,89.6
2023-03-12 04:46:00,0,97.8
2023-03-12 04:48:00,0,87.2
2023-03-12 04:50:00,0.0200,89.4
2023-03-12 04:52:00,0.0600,91.5
2023-03-12 04:54:00,0.0200,91.0
2023-03-12 04:56:00,0.100,113
2023-03-12 04:58:00,0.100,90.7
2023-03-12 05:00:00,0.0600,89.7
2023-03-12 05:02:00,0.0800,92.0
2023-03-12 05:04:00,0.100,93.2
2023-03-12 05:06:00,0,131
2023-03-12 05:08:00,0,89.7
2023-03-12 05:10:00,0,89.5
2023-03-12 05:12:00,0,93.5
2023-03-12 05:14:00,0,92.1
2023-03-12 05:16:00,0.0600,152
2023-03-12 05:18:00,0,90.4
2023-03-12 05:20:00,0.0400,89.3
2023-03-12 05:22:00,0.0400,94.2
2023-03-12 05:24:00,0.0200,90.8
2023-03-12 05:26:00,0.0200,171
2023-03-12 05:28:00,0.0200,90.8
2023-03-12 05:30:00,0.0400,88.7
2023-03-12 05:32:00,0,92.5
2023-03-12 05:34:00,0,91.1
2023-03-12 05:36:00,0,199
2023-03-12 05:38:00,0,92.0
2023-03-12 05:40:00,0,90.3
2023-03-12 05:42:00,0.0200,93.2
2023-03-12 05:44:00,0,94.2
2023-03-12 05:46:00,0.0200,219
2023-03-12 05:48:00,0.0200,91.1
2023-03-12 05:50:00,0.0600,90.8
2023-03-12 05:52:00,0,93.5
2023-03-12 05:54:00,0,95.4
2023-03-12 05:56:00,0,223
2023-03-12 05:58:00,0,90.1
2023-03-12 06:00:00,0,88.6
2023-03-12 06:02:00,0.0600,93.5
2023-03-12 06:04:00,0.0600,93.9
2023-03-12 06:06:00,0.0200,211
2023-03-12 06:08:00,0.0400,90.0
2023-03-12 06:10:00,0.0800,90.2
2023-03-12 06:12:00,0.0200,93.4
2023-03-12 06:14:00,0.0800,93.0
2023-03-12 06:16:00,0.0600,190
2023-03-12 06:18:00,0,89.4
2023-03-12 06:20:00,0,90.7
2023-03-12 06:22:00,0,93.4
2023-03-12 06:24:00,0,92.2
2023-03-12 06:26:00,0.0400,170
2023-03-12 06:28:00,0,88.8
2023-03-12 06:30:00,0,90.2
2023-03-12 06:32:00,0.0600,91.5
2023-03-12 06:34:00,0,92.8
2023-03-12 06:36:00,0.0200,150
2023-03-12 06:38:00,0.0200,89.4
2023-03-12 06:40:00,0,90.0
2023-03-12 06:42:00,0,93.0
2023-03-12 06:44:00,0,92.0
2023-03-12 06:46:00,0,127
2023-03-12 06:48:00,0,88.5
2023-03-12 06:50:00,0.0200,89.0
2023-03-12 06:52:00,0,92.4
2023-03-12 06:54:00,0.0400,89.8
2023-03-12 06:56:00,0.0800,104
2023-03-12 06:58:00,0.0200,90.3
2023-03-12 07:00:00,0.0200,88.7
