"Time","Read (192.168.0.211:9796)","Read (192.168.0.221:9796)","Read (192.168.0.222:9796)","Write (192.168.0.211:9796)","Write (192.168.0.221:9796)","Write (192.168.0.222:9796)"
2023-03-22 05:52:00,0,0,0,748521,180543,163840
2023-03-22 05:54:00,0,0,0,688629,114369,164568
2023-03-22 05:56:00,0,0,0,576216,148594,77505
2023-03-22 05:58:00,0,0,0,685807,174808,168834
2023-03-22 06:00:00,0,0,0,536303,93571,81692
2023-03-22 06:02:00,0,0,0,744334,2094694,1437696
2023-03-22 06:04:00,0,0,0,669605,111457,169711
2023-03-22 06:06:00,0,0,0,595604,145362,80691
2023-03-22 06:08:00,0,0,0,726266,175354,177038
2023-03-22 06:10:00,0,0,0,543949,90249,89884
2023-03-22 06:12:00,0,0,0,1871553,170348,164022
2023-03-22 06:14:00,0,0,0,3174172,112777,167026
2023-03-22 06:16:00,0,0,0,602021,154628,87563
2023-03-22 06:18:00,0,0,0,719394,201705,218817
2023-03-22 06:20:00,0,0,0,544631,94982,80646
2023-03-22 06:22:00,0,0,0,726175,174854,172214
2023-03-22 06:24:00,0,0,0,669461,117692,172988
2023-03-22 06:26:00,0,0,0,592964,149367,84469
2023-03-22 06:28:00,0,0,182,728724,176902,180224
2023-03-22 06:30:00,0,0,0,550457,91523,86153
2023-03-22 06:32:00,0,0,0,734959,175445,223778
2023-03-22 06:34:00,0,0,0,673655,116417,231561
2023-03-22 06:36:00,0,0,0,602795,152280,74729
2023-03-22 06:38:00,0,0,0,706423,183364,169847
2023-03-22 06:40:00,774,0,0,551276,99214,86289
2023-03-22 06:42:00,774,0,0,730635,175673,176902
2023-03-22 06:44:00,0,0,0,658273,109818,165660
2023-03-22 06:46:00,0,0,0,596378,140356,72681
2023-03-22 06:48:00,0,0,0,722216,170758,162930
2023-03-22 06:50:00,0,0,0,556555,92524,82011
2023-03-22 06:52:00,0,250038,269153,734140,1731880,1406999
2023-03-22 06:54:00,0,250038,270928,655633,2267409,2322660
2023-03-22 06:56:00,0,0,364,611942,151370,80054
2023-03-22 06:58:00,0,0,8647,730135,182773,201068
2023-03-22 07:00:00,0,0,8647,543175,93935,115780
2023-03-22 07:02:00,0,0,0,724764,457296,260506
2023-03-22 07:04:00,0,0,0,666783,397175,254589
2023-03-22 07:06:00,0,0,0,605025,150960,79053
2023-03-22 07:08:00,0,0,0,742559,183546,165524
2023-03-22 07:10:00,0,0,0,561152,105358,77505
2023-03-22 07:12:00,0,0,0,708562,179086,156786
2023-03-22 07:14:00,0,0,0,687309,111912,174530
2023-03-22 07:16:00,0,0,0,627416,151233,81465
2023-03-22 07:18:00,0,0,0,701053,186368,170667
2023-03-22 07:20:00,0,0,0,528111,91159,83558
2023-03-22 07:22:00,0,0,0,729589,174262,171668
2023-03-22 07:24:00,0,0,0,672336,108635,171850
2023-03-22 07:26:00,0,0,0,601566,150551,84287
2023-03-22 07:28:00,0,0,0,732092,177721,168027
2023-03-22 07:30:00,0,0,0,579287,83922,79644
2023-03-22 07:32:00,0,0,0,717483,166796,214312
2023-03-22 07:34:00,0,0,0,638066,107179,218681
2023-03-22 07:36:00,0,0,0,606936,142905,80418
2023-03-22 07:38:00,0,0,0,722307,172624,169210
2023-03-22 07:40:00,0,0,0,540035,82102,87063
2023-03-22 07:42:00,0,0,0,743515,169893,217088
2023-03-22 07:44:00,0,0,0,663142,107224,226600
2023-03-22 07:46:00,0,0,0,605389,144179,93525
2023-03-22 07:48:00,0,0,501,728041,177266,170075
2023-03-22 07:50:00,0,0,501,558103,93480,88337
2023-03-22 07:52:00,0,0,0,712658,170121,164341
2023-03-22 07:54:00,0,0,0,641343,110091,167476
2023-03-22 07:56:00,0,0,0,619952,142131,88292
2023-03-22 07:58:00,0,0,0,729270,174171,182044
2023-03-22 08:00:00,0,0,0,567524,89156,86335
2023-03-22 08:02:00,0,0,0,706697,855381,512956
2023-03-22 08:04:00,0,0,0,632468,122926,171713
2023-03-22 08:06:00,0,0,0,607073,158151,84241
2023-03-22 08:08:00,0,0,0,687218,182318,166571
2023-03-22 08:10:00,0,0,0,541810,101035,75822
2023-03-22 08:12:00,0,0,0,747019,182878,167890
2023-03-22 08:14:00,0,0,0,666237,117464,175673
2023-03-22 08:16:00,0,0,0,599154,164523,81192
2023-03-22 08:18:00,0,0,0,710155,186687,214266
2023-03-22 08:20:00,0,0,0,523924,94709,85788
2023-03-22 08:22:00,0,0,0,695046,169347,175991
2023-03-22 08:24:00,0,0,0,662005,114187,168164
2023-03-22 08:26:00,0,0,0,589596,158925,78416
2023-03-22 08:28:00,0,0,0,726721,177903,166798
2023-03-22 08:30:00,0,0,0,540763,88838,80919
2023-03-22 08:32:00,0,0,0,726994,168300,215950
2023-03-22 08:34:00,0,0,0,681756,115826,219728
2023-03-22 08:36:00,0,0,0,591007,154192,80464
2023-03-22 08:38:00,0,0,0,726858,182909,169210
2023-03-22 08:40:00,0,0,0,551413,87199,86608
2023-03-22 08:42:00,0,0,0,715071,179678,176310
2023-03-22 08:44:00,0,0,0,666374,112503,171804
2023-03-22 08:46:00,0,0,0,600383,148730,76049
2023-03-22 08:48:00,0,0,0,734504,190828,165888
2023-03-22 08:50:00,0,0,0,553643,104767,90385
